model_id	alphabet_model	rate_model	rsa_scale	controls	contrast	point_estimate	bootstrap_percentile_lower	bootstrap_percentile_upper	bootstrap_estimable_draws	bootstrap_singular_draws	loo_minimum	loo_maximum	loo_sign_reversals	most_influential_marker	largest_absolute_loo_change	observed_mean_log1p_aa_rate	observed_mean_rsa
3di_af__freerate__miller1987__coverage_confidence	3di_af	freerate	miller1987	coverage_confidence	aa_log1p_rate_at_observed_mean_RSA	0.16774967970671634	0.13765075986702452	0.20081789931884117	2000	0	0.1609767222413248	0.17172325572976027	0	649304at2759	0.006772957465391527	0.6171019888828265	0.31139463967197273
3di_af__freerate__miller1987__coverage_confidence	3di_af	freerate	miller1987	coverage_confidence	rsa_at_observed_mean_aa_log1p_rate	-0.15987297663537725	-0.20875003860200536	-0.11637756674952522	2000	0	-0.16711165194946054	-0.15272573013289506	0	5000452at2759	0.007238675314083287	0.6171019888828265	0.31139463967197273
3di_af__freerate__miller1987__composition_adjusted	3di_af	freerate	miller1987	composition_adjusted	aa_log1p_rate_at_RSA_0.25	0.06962851582532477	0.019200857501305093	0.1193649298061434	2000	0	0.06092011365501582	0.07694139261044411	0	4970387at2759	0.008708402170308951	0.6171019888828265	0.31139463967197273
3di_af__freerate__miller1987__composition_adjusted	3di_af	freerate	miller1987	composition_adjusted	rsa_at_aa_log1p_rate_0	-0.20800179213275174	-0.27824734336231227	-0.14154663299881357	2000	0	-0.224073486583185	-0.1941293577074984	0	649304at2759	0.016071694450433244	0.6171019888828265	0.31139463967197273
3di_af__freerate__miller1987__composition_adjusted	3di_af	freerate	miller1987	composition_adjusted	interaction	0.03480388487455407	-0.056945807713800596	0.12420413977320124	2000	0	0.02082888032799428	0.05731641849225683	0	649304at2759	0.022512533617702765	0.6171019888828265	0.31139463967197273
3di_af__freerate__miller1987__composition_adjusted	3di_af	freerate	miller1987	composition_adjusted	aa_log1p_rate_at_observed_mean_RSA	0.07176528779638283	0.023789775810127263	0.12015047997633946	2000	0	0.06337353545030211	0.07896427750826052	0	4970387at2759	0.008391752346080722	0.6171019888828265	0.31139463967197273
3di_af__freerate__miller1987__composition_adjusted	3di_af	freerate	miller1987	composition_adjusted	rsa_at_observed_mean_aa_log1p_rate	-0.1865242455558155	-0.23732825224909718	-0.1417255613820033	2000	0	-0.19418122284279446	-0.17922990302977637	0	5000452at2759	0.00765697728697895	0.6171019888828265	0.31139463967197273
3di_af_empirical__gamma__tien2013__coverage_confidence	3di_af_empirical	gamma	tien2013	coverage_confidence	aa_log1p_rate_at_RSA_0.25	0.16596728617128859	0.137411782655289	0.19605046187992634	2000	0	0.15982635921642668	0.16921481020558224	0	649304at2759	0.006140926954861903	0.60622722227587	0.2663357935377736
3di_af_empirical__gamma__tien2013__coverage_confidence	3di_af_empirical	gamma	tien2013	coverage_confidence	rsa_at_aa_log1p_rate_0	-0.16870815256055016	-0.24414919596913207	-0.09434915476407084	2000	0	-0.18824623149344905	-0.15457026256844347	0	649304at2759	0.019538078932898884	0.60622722227587	0.2663357935377736
3di_af_empirical__gamma__tien2013__coverage_confidence	3di_af_empirical	gamma	tien2013	coverage_confidence	interaction	0.06588485881788375	-0.03412641577536863	0.17503680360418847	2000	0	0.04414440422424524	0.08773769298177433	0	649304at2759	0.021852834163890583	0.60622722227587	0.2663357935377736
3di_af_empirical__gamma__tien2013__coverage_confidence	3di_af_empirical	gamma	tien2013	coverage_confidence	aa_log1p_rate_at_observed_mean_RSA	0.1670435676222029	0.1389935205160502	0.19652181335940852	2000	0	0.1612596240544575	0.1703917894007131	0	649304at2759	0.005783943567745392	0.60622722227587	0.2663357935377736
3di_af_empirical__gamma__tien2013__coverage_confidence	3di_af_empirical	gamma	tien2013	coverage_confidence	rsa_at_observed_mean_aa_log1p_rate	-0.12876695760934664	-0.17893008494094576	-0.08231297075457858	2000	0	-0.13601431266559086	-0.12113321404259514	0	539632at2759	0.007633743566751505	0.60622722227587	0.2663357935377736
