taxon_id	species_name	study_role	gap_ambiguity_percent_reported	nominal_composition_status	composition_pvalue_percent_reported
F423460	Basidiobolus meristosporus	ingroup	13.34	failed	0.00
F34480	Basidiobolus ranarum	ingroup	26.59	failed	0.00
F87326	Amanita brunnescens	ingroup	24.74	failed	0.00
F933333	Amanita inopinata	ingroup	4.68	failed	0.00
F41956	Amanita muscaria	ingroup	5.11	failed	0.00
F67723	Amanita phalloides	ingroup	1.38	failed	0.00
F1004511	Amanita polypyramis	ingroup	19.34	failed	0.00
F71933	Amanita rubescens	ingroup	11.43	failed	1.17
F235537	Amanita thiersii	ingroup	1.77	failed	0.00
F89243	Laccaria amethystina	ingroup	4.29	failed	0.06
F29883	Laccaria bicolor	ingroup	14.02	failed	0.00
F44565	Sterigmatomyces hyphaenes	ingroup	2.39	failed	0.00
F2831993	Plicatura crispa	ingroup	2.72	failed	0.00
F1759441	Athelia psychrophila	ingroup	6.94	failed	0.00
F2748771	Athelia sp. TMB	ingroup	66.39	failed	0.30
F80663	Piloderma croceum	ingroup	5.26	failed	0.00
F1938712	Atractiella rhizophila	ingroup	20.90	failed	0.00
F1331295	Auricularia subglabra	ingroup	7.78	failed	0.00
F2829486	Auriculariales sp. MPI-PUGE-AT-0066	ingroup	4.21	failed	0.00
F5219	Exidia glandulosa	ingroup	28.34	failed	0.00
F48563	Suillus bovinus	ingroup	2.13	failed	0.00
F48565	Suillus brevipes	ingroup	3.80	failed	0.00
F1904413	Suillus clintonianus	ingroup	2.71	failed	0.00
F1912936	Suillus discolor	ingroup	2.97	failed	0.00
F1912939	Suillus fuscotomentosus	ingroup	7.76	failed	0.00
F48578	Suillus paluster	ingroup	5.75	failed	0.00
F116603	Suillus plorans	ingroup	2.95	failed	0.00
F48586	Suillus subalutaceus	ingroup	5.33	failed	0.00
F48587	Suillus subaureus	ingroup	8.74	failed	0.00
F48593	Suillus weaverae	ingroup	3.33	failed	0.00
F264124	Botryobasidium botryosum	ingroup	3.21	failed	0.00
F1750568	Cantharellus anzutake	ingroup	17.46	failed	0.00
F170446	Ceratobasidium sp. AG-Ba	ingroup	85.50	failed	0.00
F139363	Hydnum rufescens	ingroup	9.75	failed	0.00
F456999	Rhizoctonia solani	ingroup	10.56	failed	0.00
F156515	Tulasnella calospora	ingroup	26.17	failed	0.00
F401625	Ceraceosorus bombacis	ingroup	21.31	failed	0.00
F1522189	Ceraceosorus guamensis	ingroup	5.10	failed	0.00
F203533	Classicula fluitans	ingroup	10.78	failed	0.00
F202698	Punctularia strigosozonata	ingroup	3.48	failed	0.00
F2778381	Cyphobasidiales sp. Tagirdzhanova-0007	ingroup	7.43	failed	0.00
F29899	Cystobasidium minutum	ingroup	2.87	passed	17.61
F29902	Mrakia frigida	ingroup	2.68	failed	0.00
F264483	Phaffia rhodozyma	ingroup	4.21	failed	0.00
F29889	Calocera cornea	ingroup	2.38	failed	0.00
F63146	Calocera viscosa	ingroup	3.51	failed	0.00
F1858805	Dacryopinax primogenitus	ingroup	5.46	failed	0.00
F58919	Tilletiopsis washingtonensis	ingroup	5.17	failed	0.00
F5414	Erythrobasidium hasegawianum	ingroup	2.39	failed	0.06
F215250	Acaromyces ingoldii	ingroup	5.41	failed	0.00
F63378	Exobasidium rhododendri	ingroup	3.27	failed	0.00
F1280837	Meira miltonrushii	ingroup	3.85	failed	0.00
F5210	Filobasidium floriforme	ingroup	3.05	failed	0.00
F610337	Naganishia cerealis	ingroup	40.94	failed	1.08
F89922	Naganishia friedmannii	ingroup	7.25	failed	0.00
F104408	Naganishia liquefaciens	ingroup	2.29	failed	0.00
F1424756	Naganishia vaughanmartiniae	ingroup	21.81	failed	0.01
F68786	Sphaerobolus stellatus	ingroup	22.79	failed	1.48
F1230402	Basidioascus undulatus	ingroup	1.41	failed	0.00
F5281	Tilletiaria anomala	ingroup	6.79	failed	0.00
F104355	Gloeophyllum trabeum	ingroup	2.50	failed	0.00
F5364	Heliocybe sulcata	ingroup	1.82	failed	0.00
F38799	Neolentinus lepideus	ingroup	3.73	failed	0.00
F112417	Gautieria morchelliformis	ingroup	3.64	failed	0.00
F113071	Ramaria rubella	ingroup	10.60	failed	0.00
F45228	Heterogastridium pycnidioideum	ingroup	2.19	failed	0.00
F257869	Holtermanniella festucosa	ingroup	2.32	failed	0.00
F135589	Coniferiporia weirii	ingroup	5.28	failed	0.00
F208960	Fomitiporia mediterranea	ingroup	5.90	failed	0.00
F2282107	Pyrrhoderma noxium	ingroup	3.38	failed	0.81
F50990	Rickenella mellea	ingroup	8.79	failed	0.00
F27342	Schizopora paradoxa	ingroup	1.65	failed	0.64
F150792	Hysterangium stoloniferum	ingroup	1.53	failed	0.00
F202697	Jaapia argillacea	ingroup	6.35	failed	0.00
F1323573	Meredithblackwellia eburnea	ingroup	2.55	failed	0.00
F418498	Phenoliferia psychrophenolica	ingroup	5.03	failed	0.00
F3038894	Phenoliferia sp. Uapishka_3	ingroup	20.83	failed	0.00
F106004	Leucosporidium creatinivorum	ingroup	4.97	failed	0.00
F223818	Malassezia japonica	ingroup	5.55	failed	0.00
F77020	Malassezia pachydermatis	ingroup	6.92	failed	0.00
F76775	Malassezia restricta	ingroup	5.21	failed	0.00
F76777	Malassezia sympodialis	ingroup	11.19	failed	0.00
F2020962	Malassezia vespertilionis	ingroup	6.02	failed	0.00
F269621	Microbotryum intermedium	ingroup	3.59	failed	0.00
F288795	Microbotryum lychnidis-dioicae	ingroup	6.88	failed	0.00
F289078	Microbotryum saponariae	ingroup	6.71	failed	0.00
F796604	Microbotryum silenes-dioicae	ingroup	7.37	failed	0.00
F2878321	Jaminaea pallidilutea	ingroup	4.65	failed	0.00
F1569628	Jaminaea rosea	ingroup	4.74	failed	0.00
F1684307	Microstroma glucosiphilum	ingroup	4.39	failed	0.00
F1463510	Parajaminaea phylloscopi	ingroup	4.44	failed	0.00
F574677	Sympodiomycopsis kandeliae	ingroup	3.64	failed	0.00
F34349	Mixia osmundae	ingroup	4.99	failed	0.00
F112072	Naohidea sebacea	ingroup	2.90	failed	0.00
F1419009	Clathrus columnatus	ingroup	11.06	failed	0.00
F378194	Epithele typhae	ingroup	5.05	failed	0.00
F599839	Fibroporia radiculosa	ingroup	8.54	failed	0.00
F5630	Laetiporus sulphureus	ingroup	4.04	failed	0.00
F5365	Lentinus tigrinus	ingroup	4.23	failed	0.00
F231932	Phanerochaete carnosa	ingroup	8.72	failed	0.00
F104341	Rhodonia placenta	ingroup	5.85	failed	0.00
F181123	Austropuccinia psidii	ingroup	4.87	failed	0.00
F60197	Cronartium quercuum	ingroup	6.38	failed	0.00
F203908	Melampsora laricis-populina	ingroup	6.48	failed	0.00
F170000	Phakopsora pachyrhizi	ingroup	23.25	failed	0.00
F208348	Puccinia triticina	ingroup	8.41	failed	0.00
F48021	Artomyces pyxidatus	ingroup	2.17	failed	0.00
F135208	Hericium alpestre	ingroup	24.01	failed	0.00
F984962	Heterobasidion irregulare	ingroup	5.74	failed	0.00
F152956	Russula decolorans	ingroup	4.18	failed	0.00
F40492	Stereum hirsutum	ingroup	4.77	failed	0.00
F1314805	Vararia minispora	ingroup	2.85	failed	0.00
F65672	Serendipita indica	ingroup	8.18	failed	0.00
F2600213	Serendipita sp. 400	ingroup	39.53	failed	0.63
F2600215	Serendipita sp. 405	ingroup	25.99	failed	0.00
F2600216	Serendipita sp. 411	ingroup	22.91	passed	10.11
F109899	Serendipita vermifera	ingroup	9.07	failed	0.08
F2834505	Sertulicium niveocremeum	ingroup	4.00	failed	0.00
F467971	Sistotremastrum suecicum	ingroup	4.10	failed	0.00
F69979	Phyllozyma linderae	ingroup	2.22	failed	0.00
F100910	Rhodosporidiobolus nylandii	ingroup	3.80	failed	0.00
F29898	Rhodotorula graminis	ingroup	5.12	failed	0.00
F5286	Rhodotorula toruloides	ingroup	2.70	failed	0.00
F500713	Sporobolomyces koalae	ingroup	2.93	failed	0.00
F183962	Sporobolomyces salmoneus	ingroup	3.64	failed	0.00
F370292	Thelephora ganbajun	ingroup	1.18	failed	0.03
F56493	Thelephora terrestris	ingroup	4.65	failed	0.05
F13290	Tilletia caries	ingroup	10.11	failed	0.00
F13291	Tilletia controversa	ingroup	11.56	failed	0.00
F157183	Tilletia laevis	ingroup	10.42	failed	0.00
F1031713	Tilletia maclaganii	ingroup	5.30	failed	0.00
F117179	Tilletia walkeri	ingroup	6.51	failed	0.00
F104669	Cryptococcus amylolentus	ingroup	14.77	failed	0.00
F552467	Cryptococcus bacillisporus	ingroup	2.47	failed	0.00
F1859122	Cryptococcus decagattii	ingroup	2.05	failed	0.00
F40410	Cryptococcus deneoformans	ingroup	1.91	failed	0.00
F5208	Cryptococcus depauperatus	ingroup	3.02	failed	0.96
F1859096	Cryptococcus deuterogattii	ingroup	3.64	failed	0.03
F37769	Cryptococcus gattii	ingroup	2.64	failed	0.00
F5207	Cryptococcus neoformans	ingroup	2.77	failed	0.00
F1859121	Cryptococcus tetragattii	ingroup	2.49	failed	0.00
F5619	Cryptococcus wingfieldii	ingroup	2.79	failed	0.00
F105984	Apiotrichum porosum	ingroup	2.20	failed	0.00
F1890679	Cryptotrichosporon argae	ingroup	2.12	failed	0.00
F279322	Cutaneotrichosporon cavernicola	ingroup	1.82	failed	0.00
F82508	Trichosporon asahii	ingroup	11.85	failed	0.00
F143232	Vanrija pseudolonga	ingroup	6.07	failed	0.00
F1055551	Tritirachium sp. CBS 265.96	ingroup	3.94	failed	0.00
F1269715	Thecaphora frezii	ingroup	10.31	failed	0.00
F84753	Moesziomyces antarcticus	ingroup	4.62	failed	0.00
F84751	Pseudozyma flocculosa	ingroup	5.48	failed	0.00
F280036	Sporisorium graminicola	ingroup	5.61	failed	0.00
F1882483	Testicularia cyperi	ingroup	3.68	failed	0.00
F120017	Ustilago hordei	ingroup	4.06	failed	0.00
F1673888	Violaceomyces palustris	ingroup	10.83	failed	0.00
F1708542	Wallemia canadensis	ingroup	2.47	failed	0.00
F1540922	Wallemia hederae	ingroup	4.96	failed	0.00
F245174	Wallemia ichthyophaga	ingroup	4.10	failed	0.00
F1708541	Wallemia mellicola	ingroup	2.50	failed	0.00
F64504	Allomyces arbusculus	ingroup	3.63	failed	0.00
F64505	Allomyces javanicus	ingroup	16.67	failed	0.00
F28583	Allomyces macrogynus	ingroup	82.93	failed	0.00
