tree_type	tree_id	fungal_entries	outgroup_entries	status	separating_edge_length	marker_sh_alrt_percent	outgroup_taxa_json	fungal_taxa_sha256	tree_sha256
marker	4900375at2759	472	23	fungal_outgroup_split_absent			"[""O10228"", ""O133409"", ""O1890364"", ""O192875"", ""O225164"", ""O2700040"", ""O27923"", ""O283909"", ""O400682"", ""O44689"", ""O45351"", ""O529818"", ""O5755"", ""O5786"", ""O6239"", ""O691883"", ""O72019"", ""O7227"", ""O81824"", ""O946362"", ""OFS1403592"", ""OFS5426470"", ""OFS5426494""]"	77f4ea83a81e6a7b9bceed67804afafa5bf019bb121c6ee0ee0e2ebf03f123ab	432daadb024595ca256698b3b56e37d0fb1d7c930ee18b7c57575287c19e5d0c
marker	4908955at2759	477	22	fungal_outgroup_split_absent			"[""O10228"", ""O133409"", ""O1890364"", ""O192875"", ""O225164"", ""O2700040"", ""O27923"", ""O283909"", ""O400682"", ""O44689"", ""O45351"", ""O529818"", ""O5755"", ""O5786"", ""O6239"", ""O691883"", ""O72019"", ""O81824"", ""O946362"", ""OFS1403592"", ""OFS5426470"", ""OFS5426494""]"	b70e79a500ccaec63e3178de21408ced9d5682a0bf3052187335630aecb4b86a	21fce3312598cbe19e0ca3b3d06698d29c8051a2d9b16a4a026626a9d2677a5c
marker	4911644at2759	460	19	exact_fungal_outgroup_split	0.1345088319	100	"[""O10228"", ""O133409"", ""O1890364"", ""O192875"", ""O225164"", ""O2700040"", ""O283909"", ""O400682"", ""O44689"", ""O45351"", ""O529818"", ""O5755"", ""O5786"", ""O691883"", ""O81824"", ""O946362"", ""OFS1403592"", ""OFS5426470"", ""OFS5426494""]"	60afb4dce896742f3ad312608c932ff56996d36a7cb3f65eafbb1c9e836aadaf	8ebdf45fb704f71961a3a960421d81fd0387d96e32e408a8db5c7574f73e18bd
marker	4940884at2759	440	20	fungal_outgroup_split_absent			"[""O10228"", ""O133409"", ""O1890364"", ""O192875"", ""O225164"", ""O27923"", ""O283909"", ""O400682"", ""O44689"", ""O529818"", ""O5755"", ""O5786"", ""O691883"", ""O72019"", ""O7227"", ""O81824"", ""O946362"", ""OFS1403592"", ""OFS5426470"", ""OFS5426494""]"	df4827bdab6c6efdc9066cdc697230b5995338c23962e3a93f1ef4903e4daea8	1887d890fdeac1b0170e0df6ac8fb76f538392c4ec9334851fd0d1fe7e5ce655
marker	4969018at2759	469	19	fungal_outgroup_split_absent			"[""O10228"", ""O133409"", ""O192875"", ""O225164"", ""O2700040"", ""O283909"", ""O44689"", ""O45351"", ""O5755"", ""O5786"", ""O6239"", ""O691883"", ""O72019"", ""O81824"", ""O946362"", ""OFS1403592"", ""OFS5426458"", ""OFS5426470"", ""OFS5426494""]"	a3d9f9a14cb0a6f6123f66026c0a04f73c4a2fc0906e654056022fa230170e99	4f77e1ffc4dda44dd0c62dd4dbc62be9b476ee36d5826c3ad464e31e083f4780
marker	4969636at2759	461	19	fungal_outgroup_split_absent			"[""O10228"", ""O133409"", ""O1890364"", ""O192875"", ""O225164"", ""O2700040"", ""O283909"", ""O400682"", ""O44689"", ""O45351"", ""O5755"", ""O5786"", ""O6239"", ""O691883"", ""O72019"", ""O81824"", ""OFS1403592"", ""OFS5426470"", ""OFS5426494""]"	b00ae27742aac9cb52fc5ad63330f4402225c71c21431bac03d3fa3a29f16d81	b3e0d86592d5eb77275dc2397a78d4733e917056c58efe48f5cb5f5992f33bc7
marker	4969990at2759	462	21	fungal_outgroup_split_absent			"[""O10228"", ""O133409"", ""O1890364"", ""O192875"", ""O225164"", ""O2700040"", ""O27923"", ""O283909"", ""O400682"", ""O44689"", ""O45351"", ""O529818"", ""O5755"", ""O5786"", ""O6239"", ""O691883"", ""O81824"", ""O946362"", ""OFS1403592"", ""OFS5426470"", ""OFS5426494""]"	d4d5f0c38572f0ea77eebf1147a5c7ba28359c8d65ee62deb89ee20b0767e867	abded9e3406f96170d747e91e7cebd5c065d2fd8a99cdc5f2685da98e464aad1
marker	4970387at2759	423	21	fungal_outgroup_split_absent			"[""O10228"", ""O133409"", ""O1890364"", ""O192875"", ""O225164"", ""O27923"", ""O283909"", ""O400682"", ""O44689"", ""O45351"", ""O529818"", ""O5755"", ""O5786"", ""O6239"", ""O691883"", ""O72019"", ""O81824"", ""O946362"", ""OFS1403592"", ""OFS5426470"", ""OFS5426494""]"	c82295eb3bf2df5a4d1450b02c99777c416f313a00d09101dbe66d729c70c681	ae936aa640a6873d4a40b2f47f612bd4597033e3d4dee0eb9d1de45304ef1bd9
marker	4970538at2759	462	21	fungal_outgroup_split_absent			"[""O10228"", ""O133409"", ""O1890364"", ""O192875"", ""O225164"", ""O27923"", ""O283909"", ""O400682"", ""O44689"", ""O529818"", ""O5755"", ""O5786"", ""O6239"", ""O691883"", ""O72019"", ""O7227"", ""O81824"", ""O946362"", ""OFS1403592"", ""OFS5426470"", ""OFS5426494""]"	7ffe7289f12e408a4ca4ab9fc2e40c1af38715fbce51fb3adb532e04ddf69fb8	f744b110468e33bd251943dd3b1b22dea59efbe6c0d4e35da2d4e223d70f9a80
marker	4971272at2759	451	22	exact_fungal_outgroup_split	0.076238743	90.8	"[""O10228"", ""O133409"", ""O1890364"", ""O192875"", ""O225164"", ""O2700040"", ""O27923"", ""O283909"", ""O400682"", ""O44689"", ""O45351"", ""O529818"", ""O5755"", ""O5786"", ""O6239"", ""O691883"", ""O7227"", ""O81824"", ""O946362"", ""OFS1403592"", ""OFS5426470"", ""OFS5426494""]"	bb18e45b1b37560ad2c8ce047e14ff559dc000373a45f8b5e46d6468f6158296	bd9a6dd41472787ab1be1b4713f6526ef048b3099763cb652b9a13c064d1677f
marker	4974767at2759	445	20	fungal_outgroup_split_absent			"[""O10228"", ""O133409"", ""O1890364"", ""O192875"", ""O225164"", ""O2700040"", ""O27923"", ""O283909"", ""O400682"", ""O44689"", ""O45351"", ""O529818"", ""O5786"", ""O6239"", ""O72019"", ""O7227"", ""O81824"", ""O946362"", ""OFS5426470"", ""OFS5426494""]"	37118785016bdf8f1933f0fc47a545deef2a9862525c26551f10a42fe0fc3418	bc1b51c33d360368ce836ebe1f6976240bc9598525b1bee8e2ae06ccb86ad610
marker	4975094at2759	459	18	exact_fungal_outgroup_split	0.1220037946	95.9	"[""O10228"", ""O133409"", ""O1890364"", ""O192875"", ""O225164"", ""O283909"", ""O400682"", ""O44689"", ""O45351"", ""O529818"", ""O5755"", ""O5786"", ""O6239"", ""O691883"", ""O946362"", ""OFS1403592"", ""OFS5426470"", ""OFS5426494""]"	71b315df12499e5e84520227510e69e72f33f01430a7aca2ce8b8cf6b14ec1ea	36f1436c68fcdb1baf9b28a3d85661d25b9699a3436c5ee550cafe633bc05e48
