split_smaller_side_taxa	smaller_side_taxa	status	profile_branch_length	mafft_branch_length
O72019;OFS1403592;OFS5426494	3	mafft_only		0.0613971122
OFS5426458;OFS5426470;OFS5426506	3	mafft_only		0.3137483788
F1004511;F67723;F71933;F87326	4	shared	0.020276171	0.0229738551
F1005962;F13502;F4909;F4918	4	shared	0.0693025998	0.0674454632
F101028;F36050;F5128;F5518	4	shared	0.0405374419	0.0390604337
F101201;F398673;F549676;F63577	4	shared	0.0327141656	0.0327902594
F1042133;F117187;F5127;F5507	4	shared	0.0275644203	0.0286794277
F104355;F202697;F38799;F5364	4	shared	0.0462734489	0.0489095613
F104408;F1424756;F610337;F89922	4	shared	0.1798688359	0.1445378654
F1048955;F253628;F50376;F703511	4	shared	0.0302906907	0.0315514492
F1055551;F34349;F44565;F69979	4	profile_only	0.0337184992	
F105984;F143232;F279322;F82508	4	shared	0.074605655	0.0767061494
F1093900;F226899;F29908;F61273	4	shared	0.0283364838	0.0264971867
F109760;F1396493;F2735257;F64517	4	shared	0.0655069894	0.0710357525
F109932;F110093;F1604274;F1774096	4	profile_only	0.035330902	
F109932;F1604274;F1774096;F1806994	4	mafft_only		0.0377284973
F1116844;F164576;F2939403;F2939404	4	shared	0.014079803	0.0194146525
F112072;F2778381;F29899;F5414	4	shared	0.0996813363	0.1022784741
F112417;F113071;F150792;F68786	4	shared	0.0210415031	0.0235481907
F1141098;F1276059;F1658444;F393283	4	shared	0.0302545805	0.0300822091
F114525;F27291;F332112;F4932	4	mafft_only		0.0160371907
F116603;F1912936;F1912939;F48563	4	shared	0.0077982538	0.0077177577
F117179;F13290;F13291;F157183	4	shared	0.0511120216	0.0530025369
F120017;F1882483;F280036;F84753	4	shared	0.1080771695	0.1152939511
F1209916;F1209934;F145971;F1671311	4	shared	0.0039639428	0.0036813983
F1213189;F133377;F133385;F61424	4	shared	0.2513405493	0.2531861634
F1243177;F2545709;F4896;F4897	4	mafft_only		0.0441973544
F129515;F1397036;F1590129;F223409	4	shared	0.0454815093	0.0436588703
F135589;F208960;F2282107;F27342	4	shared	0.047674622	0.0518283205
F139363;F156515;F1750568;F264124	4	shared	0.0261341458	0.0257252435
F1540922;F1708541;F1708542;F245174	4	shared	0.3883759751	0.3837445998
F1542792;F2939400;F3384825;F91480	4	shared	0.1026269843	0.1043449243
F162425;F1810926;F1810928;F41759	4	mafft_only		0.0118225734
F1690604;F2486360;F293227;F364733	4	shared	0.0462749085	0.0464948774
F1712513;F1851185;F1851187;F78915	4	shared	0.2354714975	0.2511927522
F173216;F1738374;F2034170;F5544	4	shared	0.0227118025	0.0239225704
F1754190;F1754192;F2767002;F3108450	4	shared	0.01063178	0.010680435
F1759441;F2748771;F2831993;F80663	4	shared	0.0239820082	0.0264030031
F1859121;F1859122;F37769;F552467	4	shared	0.0015709961	0.0013420899
F1940652;F209281;F2704026;F443868	4	profile_only	0.03477931	
F2600213;F2600215;F2600216;F65672	4	shared	0.0391449762	0.0415065956
F2650707;F4866;F61395;F61397	4	shared	0.2650079054	0.2899639066
F269621;F288795;F289078;F796604	4	shared	0.1856578444	0.194826216
F27291;F27292;F332112;F4932	4	profile_only	0.0176620365	
F2939399;F3342545;F342668;F655981	4	shared	0.0376249204	0.0409089595
F34485;F34488;F348617;F76012	4	shared	0.1845042067	0.1919874896
F41833;F44442;F64526;F91625	4	shared	0.171290147	0.1816580475
F4837;F58291;F64632;F708070	4	shared	0.0280423972	0.0294175371
O133409;O1890364;O44689;O5786	4	mafft_only		0.0814439849
O192875;O72019;OFS1403592;OFS5426494	4	mafft_only		0.0415336508
O72019;OFS1403592;OFS5426458;OFS5426506	4	profile_only	0.1603419505	
F1004511;F41956;F67723;F71933;F87326	5	shared	0.0320226587	0.0332887525
F100910;F183962;F29898;F500713;F5286	5	shared	0.112823808	0.1165093923
F1031713;F117179;F13290;F13291;F157183	5	shared	0.2960307226	0.3051998315
F103449;F1176355;F174688;F291195;F70536	5	shared	0.1040438983	0.0939390636
F104341;F378194;F5365;F5630;F599839	5	shared	0.023808931	0.0245221541
F104355;F202697;F202698;F38799;F5364	5	shared	0.0209919231	0.020947076
F104408;F1424756;F5210;F610337;F89922	5	shared	0.1432885401	0.1459561015
F1048955;F253628;F50376;F703497;F703511	5	shared	0.0587268581	0.0575943432
F105984;F143232;F1890679;F279322;F82508	5	shared	0.0702711055	0.0661615475
F106004;F269621;F288795;F289078;F796604	5	shared	0.0429774582	0.0433935497
F1093897;F177197;F177199;F223376;F91930	5	shared	0.0281386659	0.0305583678
F109760;F1396493;F2735257;F382532;F64517	5	shared	0.0368420512	0.0356798729
F109899;F2600213;F2600215;F2600216;F65672	5	shared	0.2917548024	0.3069296301
F112417;F113071;F1419009;F150792;F68786	5	shared	0.118819609	0.1312491722
F114524;F114525;F27291;F332112;F4932	5	mafft_only		0.0095799829
F114525;F27291;F27292;F332112;F4932	5	profile_only	0.0188646222	
F1209916;F1209934;F145971;F1671311;F710243	5	shared	0.0450610959	0.0437115598
F1214568;F148313;F223192;F41990;F5116	5	shared	0.0294501803	0.0322258176
F1220207;F162425;F1810926;F1810928;F41759	5	shared	0.0824082039	0.083364365
F122368;F147573;F1507873;F1690608;F574656	5	shared	0.0198563691	0.0226428929
F1230402;F1540922;F1708541;F1708542;F245174	5	shared	0.1929005414	0.1953042586
F1314805;F152956;F40492;F48021;F984962	5	shared	0.0126645104	0.0119215703
F135589;F208960;F2282107;F27342;F50990	5	shared	0.0557422074	0.0591174368
F144530;F144538;F144539;F144679;F50956	5	profile_only	0.02581728	
F1463510;F1569628;F1684307;F2878321;F574677	5	shared	0.2589912802	0.2639536875
F1506992;F1825666;F2609844;F5147;F72144	5	shared	0.0314578176	0.0296868533
F1670608;F265104;F2939405;F2939408;F315204	5	mafft_only		0.018623815
F170000;F181123;F203908;F208348;F60197	5	shared	0.3300922195	0.3905861528
F1859096;F1859121;F1859122;F37769;F552467	5	shared	0.0128739473	0.0130689744
F2020962;F223818;F76775;F76777;F77020	5	shared	0.2777978415	0.2964067531
F2545709;F2754530;F4896;F4897;F5011	5	profile_only	0.0424898146	
F390894;F5570;F574774;F574789;F741139	5	shared	0.0305425596	0.0356366061
F4837;F4840;F58291;F64632;F708070	5	shared	0.1212245626	0.1280620147
O133409;O1890364;O44689;O5755;O5786	5	shared	0.0938819611	0.0854317346
O225164;O2700040;O283909;O6239;O7227	5	shared	0.0609649978	0.0546214993
O72019;OFS1403592;OFS5426458;OFS5426494;OFS5426506	5	profile_only	0.0709348792	
F1004511;F41956;F67723;F71933;F87326;F933333	6	shared	0.018610765	0.0189473576
F101097;F101098;F1343614;F1440133;F64571;F979620	6	shared	0.024099149	0.0279707966
F1031713;F117179;F13290;F13291;F157183;F5281	6	shared	0.0423842733	0.0413078677
F104341;F231932;F378194;F5365;F5630;F599839	6	shared	0.0310801261	0.0333601091
F1048955;F1341166;F253628;F50376;F703497;F703511	6	shared	0.0212006094	0.0210048248
F1069201;F1220207;F162425;F1810926;F1810928;F41759	6	shared	0.0157567051	0.014500952
F1081669;F1300064;F174680;F3039483;F6035;F6039	6	shared	0.2703765061	0.2298622136
F109760;F110093;F1396493;F2735257;F382532;F64517	6	mafft_only		0.0359163355
F109876;F28583;F4808;F64504;F64505;F64508	6	shared	0.1218019933	0.1354162056
F1117311;F1348612;F27376;F4874;F588596;F658196	6	shared	0.0224166014	0.0239627286
F114524;F114525;F27291;F27292;F332112;F4932	6	profile_only	0.0115352923	
F1145299;F1145321;F116794;F116821;F116982;F3058885	6	shared	0.0170607169	0.017779338
F116603;F1912936;F1912939;F48563;F48586;F48587	6	shared	0.0021871102	0.0017713728
F1174673;F1814901;F2813651;F39416;F43433;F97331	6	mafft_only		0.0508889764
F120017;F1269715;F1882483;F280036;F84751;F84753	6	shared	0.0587538054	0.0608739701
F1243177;F2545709;F2754530;F4896;F4897;F5011	6	mafft_only		0.039471261
F1280837;F1522189;F215250;F401625;F58919;F63378	6	shared	0.0475151234	0.0478878844
F1286916;F1712513;F1851185;F1851187;F1907219;F78915	6	shared	0.1218473173	0.0879606136
