taxon_id	species_name	study_role	gap_ambiguity_percent_reported	nominal_composition_status	composition_pvalue_percent_reported
F4897	Schizosaccharomyces japonicus	ingroup	10.27	failed	0.00
F2545709	Schizosaccharomyces osmophilus	ingroup	9.82	failed	0.00
F4896	Schizosaccharomyces pombe	ingroup	10.11	failed	0.00
F241526	Candida africana	ingroup	49.83	failed	0.00
F5476	Candida albicans	ingroup	13.08	failed	0.00
F42374	Candida dubliniensis	ingroup	13.14	failed	0.00
F5479	Candida maltosa	ingroup	17.72	failed	0.00
F5482	Candida tropicalis	ingroup	16.57	failed	0.00
F5486	Candida viswanathii	ingroup	78.20	failed	0.00
F2609844	Podospora pseudoanserina	ingroup	3.47	failed	0.00
F72144	Remersonia thermophila	ingroup	3.22	failed	0.00
F5147	Sordaria macrospora	ingroup	3.74	failed	0.00
F2754530	Protomyces lactucae-debilis	ingroup	9.73	failed	0.00
F5011	Taphrina deformans	ingroup	17.10	failed	0.00
F1145299	Brigantiaea leucoxantha	ingroup	18.30	failed	0.00
F1145321	Letrouitia subvulpina	ingroup	13.09	failed	0.00
F116982	Xanthoria calcicola	ingroup	14.84	failed	0.00
F3342545	Pseudogymnoascus australis	ingroup	10.18	failed	0.00
F655981	Pseudogymnoascus destructans	ingroup	5.41	failed	0.00
F342668	Pseudogymnoascus verrucosus	ingroup	3.03	failed	0.00
F1116844	Thelocarpon impressellum	ingroup	4.94	failed	0.00
F2939404	Thelocarpon superellum	ingroup	6.14	failed	0.00
F1093900	Thyridium curvatum	ingroup	4.10	failed	0.00
F223192	Phaeoacremonium minimum	ingroup	10.09	failed	0.00
F2918522	Lignoscripta atroalba	ingroup	3.82	failed	0.00
F129515	Trapelia coarctata	ingroup	6.28	failed	0.00
F51930	Tortispora caseinolytica	ingroup	13.85	failed	0.00
F2939406	Bogoriella megaspora	ingroup	5.97	failed	0.00
F364730	Trypethelium subeluteriae	ingroup	18.56	failed	0.00
F1048519	Viridothelium virens	ingroup	3.40	failed	0.00
F318760	Hypocenomyce scalaris	ingroup	4.42	failed	0.00
F136370	Lasallia pustulata	ingroup	6.91	failed	0.00
F87287	Umbilicaria vellea	ingroup	11.41	failed	0.00
F1048955	Tothia fuscella	ingroup	4.01	failed	0.02
F50376	Venturia effusa	ingroup	3.94	failed	0.00
F253628	Verruconis gallopava	ingroup	19.03	failed	0.00
F364733	Endocarpon pusillum	ingroup	8.04	failed	0.00
F2939408	Vezdaea acicularis	ingroup	5.31	failed	0.00
F2939405	Vezdaea aestivalis	ingroup	6.62	failed	0.00
F326681	Hypoxylon trugodes	ingroup	3.32	failed	0.00
F1682393	Microdochium trichocladiopsis	ingroup	3.80	failed	0.00
F326684	Xylaria bambusicola	ingroup	3.30	failed	0.00
F1130053	Cirrosporium novae-zelandiae	ingroup	7.27	failed	0.00
F1217826	Xylona heveae	ingroup	3.03	failed	0.00
F423460	Basidiobolus meristosporus	ingroup	19.33	failed	0.00
F34480	Basidiobolus ranarum	ingroup	30.83	failed	0.00
F87326	Amanita brunnescens	ingroup	29.11	failed	0.00
F933333	Amanita inopinata	ingroup	8.13	failed	0.00
F41956	Amanita muscaria	ingroup	9.72	failed	0.00
F67723	Amanita phalloides	ingroup	5.62	failed	0.00
F1004511	Amanita polypyramis	ingroup	23.08	failed	0.00
F71933	Amanita rubescens	ingroup	15.76	failed	0.00
F235537	Amanita thiersii	ingroup	6.23	failed	0.00
F89243	Laccaria amethystina	ingroup	8.07	failed	0.00
F29883	Laccaria bicolor	ingroup	19.25	failed	0.00
F44565	Sterigmatomyces hyphaenes	ingroup	7.61	failed	0.00
F2831993	Plicatura crispa	ingroup	6.37	failed	0.00
F1759441	Athelia psychrophila	ingroup	10.43	failed	0.00
F2748771	Athelia sp. TMB	ingroup	67.16	failed	0.00
F80663	Piloderma croceum	ingroup	8.64	failed	0.00
F1938712	Atractiella rhizophila	ingroup	23.95	failed	0.00
F1331295	Auricularia subglabra	ingroup	11.83	failed	0.00
F2829486	Auriculariales sp. MPI-PUGE-AT-0066	ingroup	7.98	failed	0.00
F5219	Exidia glandulosa	ingroup	29.73	failed	0.00
F48563	Suillus bovinus	ingroup	5.83	failed	0.00
F48565	Suillus brevipes	ingroup	7.98	failed	0.00
F1904413	Suillus clintonianus	ingroup	6.49	failed	0.00
F1912936	Suillus discolor	ingroup	6.13	failed	0.00
F1912939	Suillus fuscotomentosus	ingroup	11.57	failed	0.00
F48578	Suillus paluster	ingroup	9.33	failed	0.00
F116603	Suillus plorans	ingroup	7.28	failed	0.00
F48586	Suillus subalutaceus	ingroup	9.27	failed	0.00
F48587	Suillus subaureus	ingroup	12.56	failed	0.00
F48593	Suillus weaverae	ingroup	7.10	failed	0.00
F264124	Botryobasidium botryosum	ingroup	6.79	failed	0.00
F1750568	Cantharellus anzutake	ingroup	21.28	failed	0.00
F170446	Ceratobasidium sp. AG-Ba	ingroup	85.79	failed	0.00
F139363	Hydnum rufescens	ingroup	13.79	failed	0.00
F456999	Rhizoctonia solani	ingroup	13.02	failed	0.00
F156515	Tulasnella calospora	ingroup	28.10	failed	0.00
F401625	Ceraceosorus bombacis	ingroup	22.97	failed	0.00
F1522189	Ceraceosorus guamensis	ingroup	6.94	failed	0.00
F203533	Classicula fluitans	ingroup	12.79	failed	0.00
F202698	Punctularia strigosozonata	ingroup	7.42	failed	0.00
F2778381	Cyphobasidiales sp. Tagirdzhanova-0007	ingroup	9.89	failed	0.00
F29899	Cystobasidium minutum	ingroup	5.97	failed	0.00
F29902	Mrakia frigida	ingroup	5.95	failed	0.00
F264483	Phaffia rhodozyma	ingroup	5.71	failed	0.00
F29889	Calocera cornea	ingroup	6.44	failed	0.00
F63146	Calocera viscosa	ingroup	8.41	failed	0.00
F1858805	Dacryopinax primogenitus	ingroup	9.69	failed	0.00
F58919	Tilletiopsis washingtonensis	ingroup	7.74	failed	0.00
F5414	Erythrobasidium hasegawianum	ingroup	7.21	failed	0.00
F215250	Acaromyces ingoldii	ingroup	7.43	failed	0.00
F63378	Exobasidium rhododendri	ingroup	5.22	failed	0.00
F1280837	Meira miltonrushii	ingroup	6.57	failed	0.00
F5210	Filobasidium floriforme	ingroup	5.15	failed	0.00
F610337	Naganishia cerealis	ingroup	43.81	failed	0.00
F89922	Naganishia friedmannii	ingroup	7.81	failed	0.00
F104408	Naganishia liquefaciens	ingroup	4.76	failed	0.00
F1424756	Naganishia vaughanmartiniae	ingroup	22.99	failed	0.00
F68786	Sphaerobolus stellatus	ingroup	25.63	failed	0.02
F1230402	Basidioascus undulatus	ingroup	4.79	failed	0.00
F5281	Tilletiaria anomala	ingroup	7.22	failed	0.00
F104355	Gloeophyllum trabeum	ingroup	5.80	failed	0.00
F5364	Heliocybe sulcata	ingroup	5.65	failed	0.00
F38799	Neolentinus lepideus	ingroup	7.66	failed	0.00
F112417	Gautieria morchelliformis	ingroup	8.13	failed	0.00
F113071	Ramaria rubella	ingroup	13.33	failed	0.00
F45228	Heterogastridium pycnidioideum	ingroup	8.31	failed	0.00
F257869	Holtermanniella festucosa	ingroup	5.99	failed	0.00
F135589	Coniferiporia weirii	ingroup	7.98	failed	0.00
F208960	Fomitiporia mediterranea	ingroup	9.48	failed	0.00
F2282107	Pyrrhoderma noxium	ingroup	6.26	failed	0.87
F50990	Rickenella mellea	ingroup	11.14	failed	0.00
F27342	Schizopora paradoxa	ingroup	4.99	failed	0.01
F150792	Hysterangium stoloniferum	ingroup	5.70	failed	0.00
F202697	Jaapia argillacea	ingroup	9.03	failed	0.00
F1323573	Meredithblackwellia eburnea	ingroup	6.68	failed	0.00
F418498	Phenoliferia psychrophenolica	ingroup	8.05	failed	0.00
F3038894	Phenoliferia sp. Uapishka_3	ingroup	22.56	failed	0.00
F106004	Leucosporidium creatinivorum	ingroup	8.44	failed	0.00
F223818	Malassezia japonica	ingroup	10.19	failed	0.00
F77020	Malassezia pachydermatis	ingroup	11.03	failed	0.00
F76775	Malassezia restricta	ingroup	10.16	failed	0.00
F76777	Malassezia sympodialis	ingroup	16.39	failed	0.00
F2020962	Malassezia vespertilionis	ingroup	10.94	failed	0.00
F269621	Microbotryum intermedium	ingroup	5.13	failed	0.00
F288795	Microbotryum lychnidis-dioicae	ingroup	8.83	failed	0.00
F289078	Microbotryum saponariae	ingroup	8.24	failed	0.00
F796604	Microbotryum silenes-dioicae	ingroup	8.99	failed	0.00
F2878321	Jaminaea pallidilutea	ingroup	5.55	failed	0.00
F1569628	Jaminaea rosea	ingroup	7.13	failed	0.00
F1684307	Microstroma glucosiphilum	ingroup	5.28	failed	0.00
F1463510	Parajaminaea phylloscopi	ingroup	4.77	failed	0.00
F574677	Sympodiomycopsis kandeliae	ingroup	5.23	failed	0.00
F34349	Mixia osmundae	ingroup	7.28	failed	0.00
F112072	Naohidea sebacea	ingroup	8.95	failed	0.00
F1419009	Clathrus columnatus	ingroup	14.47	failed	0.00
F378194	Epithele typhae	ingroup	8.70	failed	0.00
F599839	Fibroporia radiculosa	ingroup	11.68	failed	0.00
F5630	Laetiporus sulphureus	ingroup	6.92	failed	0.00
F5365	Lentinus tigrinus	ingroup	7.60	failed	0.00
F231932	Phanerochaete carnosa	ingroup	13.58	failed	0.00
F104341	Rhodonia placenta	ingroup	9.33	failed	0.00
F181123	Austropuccinia psidii	ingroup	7.65	failed	0.00
F60197	Cronartium quercuum	ingroup	10.82	failed	0.00
F203908	Melampsora laricis-populina	ingroup	13.18	failed	0.00
F170000	Phakopsora pachyrhizi	ingroup	26.75	failed	0.00
F208348	Puccinia triticina	ingroup	12.38	failed	0.00
F48021	Artomyces pyxidatus	ingroup	6.02	failed	0.00
F135208	Hericium alpestre	ingroup	27.51	failed	0.00
F984962	Heterobasidion irregulare	ingroup	11.60	failed	0.00
F152956	Russula decolorans	ingroup	7.13	failed	0.00
F40492	Stereum hirsutum	ingroup	8.39	failed	0.00
F1314805	Vararia minispora	ingroup	6.69	failed	0.00
F65672	Serendipita indica	ingroup	11.12	failed	0.00
F2600213	Serendipita sp. 400	ingroup	39.57	failed	0.00
F2600215	Serendipita sp. 405	ingroup	28.25	failed	0.00
F2600216	Serendipita sp. 411	ingroup	25.55	failed	0.01
F109899	Serendipita vermifera	ingroup	12.84	failed	0.00
F2834505	Sertulicium niveocremeum	ingroup	8.43	failed	0.00
F467971	Sistotremastrum suecicum	ingroup	8.43	failed	0.00
F69979	Phyllozyma linderae	ingroup	7.21	failed	0.00
F100910	Rhodosporidiobolus nylandii	ingroup	5.93	failed	0.00
F29898	Rhodotorula graminis	ingroup	9.96	failed	0.00
F5286	Rhodotorula toruloides	ingroup	5.17	failed	0.00
F500713	Sporobolomyces koalae	ingroup	5.37	failed	0.00
F183962	Sporobolomyces salmoneus	ingroup	5.25	failed	0.00
F370292	Thelephora ganbajun	ingroup	5.60	failed	0.00
F56493	Thelephora terrestris	ingroup	8.24	failed	0.00
F13290	Tilletia caries	ingroup	9.44	failed	0.00
F13291	Tilletia controversa	ingroup	11.69	failed	0.00
F157183	Tilletia laevis	ingroup	8.69	failed	0.00
F1031713	Tilletia maclaganii	ingroup	5.69	failed	0.00
F117179	Tilletia walkeri	ingroup	6.12	failed	0.00
F104669	Cryptococcus amylolentus	ingroup	17.19	failed	0.00
F552467	Cryptococcus bacillisporus	ingroup	5.73	failed	0.00
F1859122	Cryptococcus decagattii	ingroup	5.54	failed	0.00
F40410	Cryptococcus deneoformans	ingroup	5.03	failed	0.00
F5208	Cryptococcus depauperatus	ingroup	7.09	failed	0.00
F1859096	Cryptococcus deuterogattii	ingroup	6.57	failed	0.00
F37769	Cryptococcus gattii	ingroup	6.00	failed	0.00
F5207	Cryptococcus neoformans	ingroup	5.76	failed	0.00
F1859121	Cryptococcus tetragattii	ingroup	5.64	failed	0.00
F5619	Cryptococcus wingfieldii	ingroup	6.55	failed	0.00
F105984	Apiotrichum porosum	ingroup	5.55	failed	0.00
F1890679	Cryptotrichosporon argae	ingroup	5.46	failed	0.00
F279322	Cutaneotrichosporon cavernicola	ingroup	5.77	failed	0.00
F82508	Trichosporon asahii	ingroup	12.46	failed	0.00
F143232	Vanrija pseudolonga	ingroup	8.45	failed	0.00
F1055551	Tritirachium sp. CBS 265.96	ingroup	9.16	failed	0.00
F1269715	Thecaphora frezii	ingroup	10.14	failed	0.00
F84753	Moesziomyces antarcticus	ingroup	5.67	failed	0.00
F84751	Pseudozyma flocculosa	ingroup	5.35	failed	0.00
F280036	Sporisorium graminicola	ingroup	6.63	failed	0.00
F1882483	Testicularia cyperi	ingroup	4.06	failed	0.00
F120017	Ustilago hordei	ingroup	4.68	failed	0.00
F1673888	Violaceomyces palustris	ingroup	11.09	failed	0.00
F1708542	Wallemia canadensis	ingroup	8.44	failed	0.00
F1540922	Wallemia hederae	ingroup	9.47	failed	0.00
F245174	Wallemia ichthyophaga	ingroup	9.43	failed	0.00
F1708541	Wallemia mellicola	ingroup	9.12	failed	0.00
F64504	Allomyces arbusculus	ingroup	8.76	failed	0.00
F64505	Allomyces javanicus	ingroup	22.48	failed	0.00
F28583	Allomyces macrogynus	ingroup	82.69	failed	0.00
F64508	Blastocladiella britannica	ingroup	11.71	failed	0.00
F4808	Blastocladiella emersonii	ingroup	9.20	failed	0.00
F109876	Catenaria anguillulae	ingroup	19.00	failed	0.00
F945690	Coelomomyces lativittatus	ingroup	26.43	failed	0.00
F3075319	Sorochytrium milnesiophthora	ingroup	12.67	failed	0.00
F1500003	Paraphysoderma sedebokerense	ingroup	13.87	failed	0.00
F911321	Calcarisporiella thermophila	ingroup	9.01	failed	0.00
F1555241	Caulochytrium protostelioides	ingroup	14.96	failed	0.00
F1774096	Dinochytrium kinnereticum	ingroup	22.33	failed	0.00
F109932	Entophlyctis luteolus	ingroup	18.01	failed	0.00
F1604274	Cladochytrium tenue	ingroup	53.84	failed	0.00
F109889	Lobulomyces angularis	ingroup	12.53	failed	0.00
F110093	Polychytrium aggregatum	ingroup	9.09	failed	0.00
F2735257	Borealophlyctis nickersoniae	ingroup	12.00	failed	0.00
F64517	Rhizophlyctis rosea	ingroup	10.82	failed	0.00
F382532	Globomyces pollinis-pini	ingroup	11.66	failed	0.00
F1396493	Fimicolochytrium jonesii	ingroup	11.36	failed	0.00
F109760	Spizellomyces punctatus	ingroup	9.35	failed	0.00
F1806994	Synchytrium microbalum	ingroup	8.15	failed	0.00
F34488	Conidiobolus coronatus	ingroup	12.36	failed	0.00
F34485	Entomophthora muscae	ingroup	83.86	failed	0.00
F348617	Massospora cicadina	ingroup	30.20	failed	0.00
F76012	Neoconidiobolus thromboides	ingroup	16.03	failed	0.00
F144530	Ambispora gerdemannii	ingroup	10.22	failed	0.00
F144679	Ambispora leptoticha	ingroup	13.34	failed	0.00
F50956	Geosiphon pyriformis	ingroup	11.38	failed	0.00
F27376	Acaulospora colombiana	ingroup	44.33	failed	0.00
F1348612	Diversispora epigaea	ingroup	10.80	failed	0.00
F4874	Gigaspora margarita	ingroup	30.24	failed	0.00
F2562287	Entrophospora sp. SA101	ingroup	19.95	failed	0.00
F1117311	Funneliformis geosporum	ingroup	13.40	failed	0.00
F658196	Glomus cerebriforme	ingroup	10.04	failed	0.00
F588596	Rhizophagus irregularis	ingroup	14.88	failed	0.00
