taxon_id	species_name	study_role	lineage	models	proteins	intervals	clusters	profile_families	mafft_families
F398673	Trichoderma gamsii	ingroup	Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Trichoderma	4308	4308	10775	3701	2130	2130
F400354	Loxospora ochrophaea	ingroup	Ascomycota;Lecanoromycetes;Sarrameanales;Sarrameanaceae;Loxospora	2	2	3	3	2	2
F401625	Ceraceosorus bombacis	ingroup	Basidiomycota;Exobasidiomycetes;Ceraceosorales;Ceraceosoraceae;Ceraceosorus	2106	2106	5382	2271	1374	1374
F40410	Cryptococcus deneoformans	ingroup	Basidiomycota;Tremellomycetes;Tremellales;Cryptococcaceae;Cryptococcus	197	197	498	293	181	181
F40492	Stereum hirsutum	ingroup	Basidiomycota;Agaricomycetes;Russulales;Stereaceae;Stereum	7	7	18	8	7	7
F40559	Botrytis cinerea	ingroup	Ascomycota;Leotiomycetes;Helotiales;Sclerotiniaceae;Botrytis	4254	4254	10515	3683	2152	2152
F41759	Aspergillus multicolor	ingroup	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus	1	1	1	1	1	1
F41833	Umbelopsis ramanniana	ingroup	Mucoromycota;Umbelopsidomycetes;Umbelopsidales;Umbelopsidaceae;Umbelopsis	65	65	205	123	63	63
F418498	Phenoliferia psychrophenolica	ingroup	Basidiomycota;Microbotryomycetes;Kriegeriales;Kriegeriaceae;Phenoliferia	0	0	0	0	0	0
F41956	Amanita muscaria	ingroup	Basidiomycota;Agaricomycetes;Agaricales;Amanitaceae;Amanita	193	207	428	216	166	166
F41990	Pleurostoma richardsiae	ingroup	Ascomycota;Sordariomycetes;Calosphaeriales;Pleurostomataceae;Pleurostoma	70	70	217	130	67	67
F42068	Pneumocystis jirovecii	ingroup	Ascomycota;Pneumocystomycetes;Pneumocystales;Pneumocystaceae;Pneumocystis	1610	1612	4361	2052	1158	1158
F423460	Basidiobolus meristosporus	ingroup	Basidiobolomycota;Basidiobolomycetes;Basidiobolales;Basidiobolaceae;Basidiobolus	6258	6529	16177	3921	1864	1864
F42374	Candida dubliniensis	ingroup	Ascomycota;Pichiomycetes;Serinales;Debaryomycetaceae;Candida	94	95	282	158	90	90
F43433	Tricharina praecox	ingroup	Ascomycota;Pezizomycetes;Pezizales;Pyronemataceae;Tricharina	1	1	2	1	1	1
F43959	Saccharomycopsis crataegensis	ingroup	Ascomycota;Saccharomycetes;Ascoideales;Saccharomycopsidaceae;Saccharomycopsis	66	68	214	131	64	64
F44089	Neoaidaea tothii	ingroup	Ascomycota;Lipomycetes;Lipomycetales;Lipomycetaceae;Neoaidaea	0	0	0	0	0	0
F443868	Agyrium rufum	ingroup	Ascomycota;Lecanoromycetes;Pertusariales;Pertusariaceae;Agyrium	1	1	2	2	1	1
F44442	Umbelopsis vinacea	ingroup	Mucoromycota;Umbelopsidomycetes;Umbelopsidales;Umbelopsidaceae;Umbelopsis	0	0	0	0	0	0
F44565	Sterigmatomyces hyphaenes	ingroup	Basidiomycota;Agaricostilbomycetes;Agaricostilbales;Agaricostilbaceae;Sterigmatomyces	1	1	4	1	1	1
F45228	Heterogastridium pycnidioideum	ingroup	Basidiomycota;Microbotryomycetes;Heterogastridiales;Heterogastridiaceae;Heterogastridium	0	0	0	0	0	0
F456999	Rhizoctonia solani	ingroup	Basidiomycota;Agaricomycetes;Cantharellales;Ceratobasidiaceae;Rhizoctonia	5	5	9	7	5	5
F460848	Candelaria pacifica	ingroup	Ascomycota;Candelariomycetes;Candelariales;Candelariaceae;Candelaria	3	3	6	3	3	3
F460854	Candelina submexicana	ingroup	Ascomycota;Candelariomycetes;Candelariales;Candelariaceae;Candelina	2	2	3	2	2	2
F462254	Aplosporella prunicola	ingroup	Ascomycota;Dothideomycetes;Botryosphaeriales;Aplosporellaceae;Aplosporella	4051	4066	10002	3640	2134	2134
F467971	Sistotremastrum suecicum	ingroup	Basidiomycota;Agaricomycetes;Sistotremastrales;Sistotremastraceae;Sistotremastrum	4096	4101	9747	3347	1917	1917
F470096	Pseudovirgaria hyperparasitica	ingroup	Ascomycota;Dothideomycetes;Acrospermales;Acrospermaceae;Pseudovirgaria	940	940	2615	1184	692	692
F474922	Colletotrichum gloeosporioides	ingroup	Ascomycota;Sordariomycetes;Glomerellales;Glomerellaceae;Colletotrichum	71	71	221	130	67	67
F4754	Pneumocystis carinii	ingroup	Ascomycota;Pneumocystomycetes;Pneumocystales;Pneumocystaceae;Pneumocystis	1631	1633	4388	2023	1167	1167
F48021	Artomyces pyxidatus	ingroup	Basidiomycota;Agaricomycetes;Russulales;Auriscalpiaceae;Artomyces	3	3	8	3	3	3
F4808	Blastocladiella emersonii	ingroup	Blastocladiomycota;Blastocladiomycetes;Blastocladiales;Blastocladiaceae;Blastocladiella	0	0	0	0	0	0
F48095	Alternaria dauci	ingroup	Ascomycota;Dothideomycetes;Pleosporales;Pleosporaceae;Alternaria	8	8	15	8	7	7
F4837	Phycomyces blakesleeanus	ingroup	Mucoromycota;Mucoromycetes;Mucorales;Phycomycetaceae;Phycomyces	4405	4455	10962	3428	1842	1841
F4840	Rhizomucor pusillus	ingroup	Mucoromycota;Mucoromycetes;Mucorales;Lichtheimiaceae;Rhizomucor	2	3	2	1	1	1
F48563	Suillus bovinus	ingroup	Basidiomycota;Agaricomycetes;Boletales;Suillaceae;Suillus	4	4	11	5	4	4
F48565	Suillus brevipes	ingroup	Basidiomycota;Agaricomycetes;Boletales;Suillaceae;Suillus	6	6	15	6	5	5
F48578	Suillus paluster	ingroup	Basidiomycota;Agaricomycetes;Boletales;Suillaceae;Suillus	4	5	11	5	4	4
F48586	Suillus subalutaceus	ingroup	Basidiomycota;Agaricomycetes;Boletales;Suillaceae;Suillus	6	6	16	8	6	6
F48587	Suillus subaureus	ingroup	Basidiomycota;Agaricomycetes;Boletales;Suillaceae;Suillus	65	65	216	123	62	62
F48593	Suillus weaverae	ingroup	Basidiomycota;Agaricomycetes;Boletales;Suillaceae;Suillus	7	7	19	8	6	6
F4866	Dipsacomyces acuminosporus	ingroup	Kickxellomycota;Kickxellomycetes;Kickxellales;Kickxellaceae;Dipsacomyces	1	1	2	1	1	1
F48691	Neolecta irregularis	ingroup	Ascomycota;Neolectomycetes;Neolectales;Neolectaceae;Neolecta	2023	2023	5465	2389	1355	1355
F4874	Gigaspora margarita	ingroup	Glomeromycota;Glomeromycetes;Diversisporales;Gigasporaceae;Gigaspora	54	54	161	104	52	52
F4896	Schizosaccharomyces pombe	ingroup	Ascomycota;Schizosaccharomycetes;Schizosaccharomycetales;Schizosaccharomycetaceae;Schizosaccharomyces	67	67	214	136	64	64
F4897	Schizosaccharomyces japonicus	ingroup	Ascomycota;Schizosaccharomycetes;Schizosaccharomycetales;Schizosaccharomycetaceae;Schizosaccharomyces	67	67	204	129	64	64
F4903	Williopsis jadinii	ingroup	Ascomycota;Saccharomycetes;Phaffomycetales;Wickerhamomycetaceae;Williopsis	2647	2660	6792	2743	1622	1622
F4909	Pichia kudriavzevii	ingroup	Ascomycota;Pichiomycetes;Pichiales;Pichiaceae;Pichia	2261	2267	5899	2545	1472	1472
F4918	Pachysolen tannophilus	ingroup	Ascomycota;Pichiomycetes;Alaninales;Pachysolenaceae;Pachysolen	2435	2446	6250	2624	1569	1569
F4927	Hansenula anomala	ingroup	Ascomycota;Saccharomycetes;Phaffomycetales;Wickerhamomycetaceae;Hansenula	2801	2808	7191	2832	1668	1668
F4932	Saccharomyces cerevisiae	ingroup	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces	68	69	225	134	66	66
F500713	Sporobolomyces koalae	ingroup	Basidiomycota;Microbotryomycetes;Sporidiobolales;Sporidiobolaceae;Sporobolomyces	2	3	3	2	2	2
F5011	Taphrina deformans	ingroup	Ascomycota;Taphrinomycetes;Taphrinales;Taphrinaceae;Taphrina	60	60	186	111	57	57
F5022	Plenodomus lingam	ingroup	Ascomycota;Dothideomycetes;Pleosporales;Leptosphaeriaceae;Plenodomus	39	39	112	64	38	38
F50376	Venturia effusa	ingroup	Ascomycota;Dothideomycetes;Venturiales;Venturiaceae;Venturia	3800	3800	9526	3459	2073	2073
