taxon_id	species_name	study_role	lineage_group	marker_slots	markers_with_model	eligible_markers	usable_markers	matrix_columns	observed	noncanonical_or_missing_sequence	no_structural_mapping	invalid_native_feature	low_feature_plddt	high_feature_pae	observed_fraction_of_matrix
F43433	Tricharina praecox	ingroup	Ascomycota	125	28	27	27	49027	3727	2714	41943	10	623	10	0.07601933628408836
F39416	Tuber melanosporum	ingroup	Ascomycota	125	0	0	0	49027	0	4352	44675	0	0	0	0.0
F158046	Phaeomoniella chlamydospora	ingroup	Ascomycota	125	0	0	0	49027	0	3372	45655	0	0	0	0.0
F703511	Trichodelitschia bisporula	ingroup	Ascomycota	125	0	0	0	49027	0	811	48216	0	0	0	0.0
F4927	Hansenula anomala	ingroup	Ascomycota	125	0	0	0	49027	0	4363	44664	0	0	0	0.0
F599730	Waltiozyma pijperi	ingroup	Ascomycota	125	0	0	0	49027	0	3329	45698	0	0	0	0.0
F4903	Williopsis jadinii	ingroup	Ascomycota	125	0	0	0	49027	0	3854	45173	0	0	0	0.0
F1825666	Phyllachora maydis	ingroup	Ascomycota	125	0	0	0	49027	0	9651	39376	0	0	0	0.0
F1276059	Polystigma amygdalinum	ingroup	Ascomycota	125	28	27	27	49027	3872	4314	39913	8	909	11	0.07897689028494503
F13502	Brettanomyces nanus	ingroup	Ascomycota	125	0	0	0	49027	0	2761	46266	0	0	0	0.0
F1005962	Ogataea parapolymorpha	ingroup	Ascomycota	125	0	0	0	49027	0	2713	46314	0	0	0	0.0
F4909	Pichia kudriavzevii	ingroup	Ascomycota	125	0	0	0	49027	0	3671	45356	0	0	0	0.0
F48095	Alternaria dauci	ingroup	Ascomycota	125	28	27	27	49027	3674	1816	42797	8	725	7	0.07493829930446488
F5454	Ascochyta rabiei	ingroup	Ascomycota	125	14	13	12	49027	2654	695	45253	2	420	3	0.054133436677748996
F5022	Plenodomus lingam	ingroup	Ascomycota	125	28	25	25	49027	5313	1208	41178	7	1313	8	0.10836885797621719
F4754	Pneumocystis carinii	ingroup	Ascomycota	125	0	0	0	49027	0	2002	47025	0	0	0	0.0
F42068	Pneumocystis jirovecii	ingroup	Ascomycota	125	0	0	0	49027	0	1575	47452	0	0	0	0.0
F263815	Pneumocystis murina	ingroup	Ascomycota	125	0	0	0	49027	0	1717	47310	0	0	0	0.0
F2977754	Pyrenula ochraceoflavens	ingroup	Ascomycota	125	28	23	23	49027	3474	4170	40348	8	1023	4	0.07085891447569706
F3060298	Pyrenula sp. 1 TL-2023	ingroup	Ascomycota	125	28	24	23	49027	3697	5805	38464	7	1050	4	0.07540742855977318
F1453789	Toensbergia leucococca	ingroup	Ascomycota	125	28	25	25	49027	3537	2346	42125	8	1006	5	0.07214392069675893
F706196	Saccharomyces arboricola	ingroup	Ascomycota	125	0	0	0	49027	0	11063	37964	0	0	0	0.0
F4932	Saccharomyces cerevisiae	ingroup	Ascomycota	125	0	0	0	49027	0	2158	46869	0	0	0	0.0
F332112	Saccharomyces cerevisiae x Saccharomyces kudriavzevii	ingroup	Ascomycota	125	0	0	0	49027	0	29041	19986	0	0	0	0.0
