model_id	alphabet_model	rate_model	rsa_scale	controls	contrast	baseline_mean_rsa	baseline_mean_aa_log1p_rate	baseline_estimate	sensitivity_estimate	sensitivity_minus_baseline	paired_draws	excluded_singular_draws	percentile_lower	percentile_upper
3di_af__freerate__miller1987__coverage_confidence	3di_af	freerate	miller1987	coverage_confidence	rsa_at_baseline_mean_aa_log_rate	0.30986614762374826	0.6166660904694471	-0.22411338814665063	-0.22471893875832974	-0.0006055506116791065	2000	0	-0.0020845362504478284	0.0008568149568227584
3di_af__freerate__miller1987__composition_adjusted	3di_af	freerate	miller1987	composition_adjusted	aa_at_RSA_025	0.30986614762374826	0.6166660904694471	0.09714750837816183	0.09721483696103121	6.732858286938315e-05	2000	0	-0.006373993517515602	0.0060539586685857145
3di_af__freerate__miller1987__composition_adjusted	3di_af	freerate	miller1987	composition_adjusted	rsa_at_aa_log_rate_0	0.30986614762374826	0.6166660904694471	-0.2650310295912656	-0.2698334162572404	-0.004802386665974767	2000	0	-0.011146602302153606	-2.558817361301451e-05
3di_af__freerate__miller1987__composition_adjusted	3di_af	freerate	miller1987	composition_adjusted	interaction	0.30986614762374826	0.6166660904694471	-0.009949073862234235	-0.00357571106076944	0.006373362801464794	2000	0	-0.0003621586125080489	0.0157345860575694
3di_af__freerate__miller1987__composition_adjusted	3di_af	freerate	miller1987	composition_adjusted	aa_at_baseline_mean_RSA	0.30986614762374826	0.6166660904694471	0.09655189565360574	0.09700077291480731	0.00044887726120157456	2000	0	-0.006066268671957622	0.006660572002528841
3di_af__freerate__miller1987__composition_adjusted	3di_af	freerate	miller1987	composition_adjusted	rsa_at_baseline_mean_aa_log_rate	0.30986614762374826	0.6166660904694471	-0.2711662860736814	-0.2720384360177334	-0.0008721499440520475	2000	0	-0.002686313481146961	0.0007076332724192773
3di_af_empirical__gamma__tien2013__coverage_confidence	3di_af_empirical	gamma	tien2013	coverage_confidence	aa_at_RSA_025	0.2650488784086919	0.6052395704588825	0.1942673308167359	0.1946810610765301	0.00041373025979421496	2000	0	-0.0007881736031190017	0.0015828115389204232
3di_af_empirical__gamma__tien2013__coverage_confidence	3di_af_empirical	gamma	tien2013	coverage_confidence	rsa_at_aa_log_rate_0	0.2650488784086919	0.6052395704588825	-0.17203354860902215	-0.1745503432011847	-0.002516794592162558	2000	0	-0.0058939053499993494	0.00015726751725814533
3di_af_empirical__gamma__tien2013__coverage_confidence	3di_af_empirical	gamma	tien2013	coverage_confidence	interaction	0.2650488784086919	0.6052395704588825	-0.017922021234144797	-0.014314874567843548	0.003607146666301249	2000	0	-0.0011178730358910815	0.009673798807492738
3di_af_empirical__gamma__tien2013__coverage_confidence	3di_af_empirical	gamma	tien2013	coverage_confidence	aa_at_baseline_mean_RSA	0.2650488784086919	0.6052395704588825	0.19399762449834526	0.19446563826972296	0.00046801377137770106	2000	0	-0.0007148745742838854	0.0016799733998277967
