taxon_id	species_name	study_role	lineage	candidate_proteins	TFIIB_hit_proteins	BRF1_hit_proteins	Zn_Ribbon_TF_hit_proteins	unresolved_gene_candidates
F148305	Pyricularia grisea	ingroup	Ascomycota;Sordariomycetes;Magnaporthales;Pyriculariaceae;Pyricularia	1	1	1	0	0
F2035830	Berkeleyomyces rouxiae	ingroup	Ascomycota;Sordariomycetes;Microascales;Ceratocystidaceae;Berkeleyomyces	2	2	1	1	0
F2019550	Ceratocystis lukuohia	ingroup	Ascomycota;Sordariomycetes;Microascales;Ceratocystidaceae;Ceratocystis	2	2	1	1	0
F563466	Scedosporium apiospermum	ingroup	Ascomycota;Sordariomycetes;Microascales;Microascaceae;Scedosporium	0	0	0	0	0
F703497	Microthyrium microscopicum	ingroup	Ascomycota;Dothideomycetes;Microthyriales;Microthyriaceae;Microthyrium	2	2	1	1	0
F122368	Cercospora beticola	ingroup	Ascomycota;Dothideomycetes;Mycosphaerellales;Mycosphaerellaceae;Cercospora	2	2	1	1	0
F574656	Recurvomyces mirabilis	ingroup	Ascomycota;Dothideomycetes;Mycosphaerellales;Teratosphaeriaceae;Recurvomyces	2	2	1	1	0
F1690608	Saxophila tyrrhenica	ingroup	Ascomycota;Dothideomycetes;Mycosphaerellales;Extremaceae;Saxophila	2	2	1	1	0
F2601811	Elsinoe batatas	ingroup	Ascomycota;Dothideomycetes;Myriangiales;Elsinoaceae;Elsinoe	2	2	1	1	0
F147570	Myriangium duriaei	ingroup	Ascomycota;Dothideomycetes;Myriangiales;Myriangiaceae;Myriangium	2	2	1	1	0
F2082308	Sphaceloma murrayae	ingroup	Ascomycota;Dothideomycetes;Myriangiales;Elsinoaceae;Sphaceloma	2	2	1	1	0
F741139	Lepidopterella palustris	ingroup	Ascomycota;Dothideomycetes;Mytilinidiales;Argynnaceae;Lepidopterella	2	2	1	1	0
F390894	Lophium mytilinum	ingroup	Ascomycota;Dothideomycetes;Mytilinidiales;Mytilinidiaceae;Lophium	2	2	1	1	0
F574789	Mytilinidion resinicola	ingroup	Ascomycota;Dothideomycetes;Mytilinidiales;Mytilinidiaceae;Mytilinidion	2	2	1	1	0
F48691	Neolecta irregularis	ingroup	Ascomycota;Neolectomycetes;Neolectales;Neolectaceae;Neolecta	2	2	1	1	0
F92988	Neophaeotheca triangularis	ingroup	Ascomycota;Dothideomycetes;Neophaeothecales;Neophaeothecaceae;Neophaeotheca	2	2	1	1	0
F199306	Coccidioides posadasii	ingroup	Ascomycota;Eurotiomycetes;Onygenales;Onygenaceae;Coccidioides	2	2	1	1	0
F63402	Nannizzia gypsea	ingroup	Ascomycota;Eurotiomycetes;Onygenales;Arthrodermataceae;Nannizzia	2	2	1	1	0
F1048829	Paracoccidioides lutzii	ingroup	Ascomycota;Eurotiomycetes;Onygenales;Ajellomycetaceae;Paracoccidioides	2	2	1	1	0
F226899	Leptographium clavigerum	ingroup	Ascomycota;Sordariomycetes;Ophiostomatales;Ophiostomataceae;Leptographium	2	2	1	1	0
F61273	Ophiostoma piceae	ingroup	Ascomycota;Sordariomycetes;Ophiostomatales;Ophiostomataceae;Ophiostoma	2	2	1	1	0
F29908	Sporothrix schenckii	ingroup	Ascomycota;Sordariomycetes;Ophiostomatales;Ophiostomataceae;Sporothrix	2	2	1	1	0
F97331	Arthrobotrys flagrans	ingroup	Ascomycota;Orbiliomycetes;Orbiliales;Orbiliaceae;Arthrobotrys	2	2	1	1	0
F1814901	Dactylella cylindrospora	ingroup	Ascomycota;Orbiliomycetes;Orbiliales;Orbiliaceae;Dactylella	2	2	1	1	0
F2813651	Orbilia oligospora	ingroup	Ascomycota;Orbiliomycetes;Orbiliales;Orbiliaceae;Orbilia	2	2	1	1	0
F1940652	Gomphillus americanus	ingroup	Ascomycota;Lecanoromycetes;Ostropales;Graphidaceae;Gomphillus	2	2	1	1	0
F2704026	Stictis urceolata	ingroup	Ascomycota;Lecanoromycetes;Ostropales;Stictidaceae;Stictis	2	2	1	1	0
F209281	Thelotrema lepadinum	ingroup	Ascomycota;Lecanoromycetes;Ostropales;Graphidaceae;Thelotrema	2	2	1	1	0
F703506	Patellaria atrata	ingroup	Ascomycota;Dothideomycetes;Patellariales;Patellariaceae;Patellaria	2	2	1	1	0
F669869	Lobaria immixta	ingroup	Ascomycota;Lecanoromycetes;Peltigerales;Lobariaceae;Lobaria	2	2	1	1	0
F52883	Peltigera leucophlebia	ingroup	Ascomycota;Lecanoromycetes;Peltigerales;Peltigeraceae;Peltigera	5	5	1	2	0
F169141	Pseudocyphellaria aurata	ingroup	Ascomycota;Lecanoromycetes;Peltigerales;Lobariaceae;Pseudocyphellaria	2	2	1	1	0
F443868	Agyrium rufum	ingroup	Ascomycota;Lecanoromycetes;Pertusariales;Pertusariaceae;Agyrium	2	2	1	1	0
