taxon_id	proteins	cds_records	proteins_without_cds	exact_translation	translation_mismatch	non_triplet_length	annotation_exception_requires_review	missing_or_ambiguous_protein_id	multiple_cds_records_for_protein
F5062	12074	12074	0	11978			96		
F1220207	13605	13605	0	13600		5			
F1810926	12536	12536	0	12468		68			
F1810928	11798	11798	0	11736		62			
F315204	9544	9544	0	9482		62			
F1670608	7646	7646	0	7574		72			
F265104	9802	9802	0	9764		38			
F1671311	17223	17223	0	17169		54			
F1209916	17065	17065	0	17060		5			
F34406	15627	15627	0	15627					
F710243	11830	11830	0	11824		6			
F474922	15368	15667	0	15347	21			299	
F80884	14651	14651	0	14529			122		
F2283408	13128	13128	0	13128					
F1095194	13328	13328	0	12745	583				
F145971	18280	18280	0	18280					
F1209934	17330	17330	0	17294		36			
F5570	14697	14697	0	14558		139			
F574774	14277	14277	0	14060		217			
F5101	9642	9642	0	9619		23			
F40559	13703	13703	0	13703					
F2656787	10707	10707	0	10707					
F195108	14574	14574	0	14558	16				
F5127	14810	14810	0	14770			40		
F5518	13312	13312	0	13223	8	3	78		
F1328300	14423	14423	0	14407	16				
F1042133	13672	13672	0	13665		7			
F5507	16197	16197	0	16172		25			
F36050	13851	13851	0	13846		5			
F101028	12445	12445	0	12427		18			
F5128	13017	13017	0	13017					
F117187	20574	20574	0	20570	1		3		
F173216	10998	10998	0	10998					
F101201	12454	12454	0	12452		2			
F63577	13568	13568	0	13564		4			
F2034170	11590	11590	0	11590					
F1738374	13063	13063	0	12964		99			
F58853	9735	9735	0	9598		137			
F549676	11879	11879	0	11820		59			
F398673	11171	11171	0	11163		8			
F65468	10428	10428	0	10428					
F5544	14065	14090	0	14022		43		25	
F2732470	9228	9228	0	9222		6			
F209136	10853	10853	0	10845		8			
F560253	11013	11013	0	11013					
F2939399	8497	8497	0	8492		5			
F3384825	8329	8329	0	8315		14			
F174425	6269	6269	0	6197		72			
F318774	7744	7744	0	7673		71			
F2796175	9066	9066	0	7594		1472			
F578093	10230	10230	0	10164		66			
F1125753	6067	6067	0	6040		27			
F383834	7319	7319	0	7238		81			
F44089	5620	5621	0	5589		31		1	
F339359	10669	10787	0	10615	54			118	
F36779	14650	14650	0	14593	2	36	19		
F148304	12329	12329	0	12022	10	297			
F148305	12452	12452	0	12452					
F2035830	8286	8286	0	8282		4			
F2019550	7505	7505	0	7504		1			
F563466	8376	8376	0	8376					
F703497	12493	12493	0	12433		60			
F122368	13144	13144	0	13140		4			
F574656	10917	10917	0	10903		14			
F1690608	11205	11205	0	11205					
F2601811	9403	9403	0	9403					
F147570	10675	10683	0	10628		47		8	
F2082308	8256	8286	0	8256				30	
F741139	13861	13861	0	13784		77			
F390894	15150	15150	0	15097		53			
F574789	16792	16792	0	16689		103			
F48691	5579	5579	0	5557	5	11	6		
F92988	9078	9078	0	9073		5			
F199306	8516	8516	0	8512	2	2			
F63402	8921	8921	0	8895	16	5	5		
F1048829	8826	8826	0	8825			1		
F226899	8311	8311	0	8309		2			
F61273	8884	8884	0	8884					
F29908	10277	10277	0	10275	2				
F97331	10346	10346	0	10346					
F1814901	10528	10528	0	10528					
F2813651	11479	11479	0	11477		2			
F1940652	8300	8300	0	8288		12			
F2704026	10151	10151	0	10098		53			
F209281	11395	11395	0	11360		35			
F703506	9780	9793	0	9687		93		13	
F669869	12073	12073	0	11882		191			
F52883	8197	8197	0	7503		694			
F169141	9958	9958	0	9807		151			
F443868	8330	8330	0	8291		39			
F1006475	9689	9689	0	8767	14	908			
F90408	10886	10886	0	10772		114			
F1174673	11642	11642	0	11642					
F43433	10412	10412	0	10351		61			
F39416	7420	7420	0	7416		3	1		
F158046	6907	6907	0	6907					
F703511	10178	10178	0	10111		67			
F4927	6417	6417	0	6272		145			
F599730	10149	10176	0	9654	10	485		27	
F4903	6032	6032	0	5942		90			
