taxon_id	species_name	study_role	lineage_group	marker_slots	markers_with_model	eligible_markers	usable_markers	matrix_columns	observed	noncanonical_or_missing_sequence	no_structural_mapping	invalid_native_feature	low_feature_plddt	high_feature_pae	observed_fraction_of_matrix
F147570	Myriangium duriaei	ingroup	Ascomycota	125	123	122	122	49027	37963	955	3305	21	6755	28	0.7743284312725641
F2082308	Sphaceloma murrayae	ingroup	Ascomycota	125	123	122	122	49027	38132	888	3305	15	6659	28	0.7777755114528729
F741139	Lepidopterella palustris	ingroup	Ascomycota	125	122	122	122	49027	37975	762	3877	19	6352	42	0.7745731943622902
F390894	Lophium mytilinum	ingroup	Ascomycota	125	122	122	122	49027	38113	1181	3283	21	6394	35	0.7773879698941399
F574789	Mytilinidion resinicola	ingroup	Ascomycota	125	122	122	122	49027	37985	827	3849	19	6317	30	0.7747771636037285
F48691	Neolecta irregularis	ingroup	Ascomycota	125	109	108	108	49027	30686	9792	2040	10	6463	36	0.6259000142778469
F92988	Neophaeotheca triangularis	ingroup	Ascomycota	125	0	0	0	49027	0	2656	46371	0	0	0	0.0
F199306	Coccidioides posadasii	ingroup	Ascomycota	125	0	0	0	49027	0	3888	45139	0	0	0	0.0
F63402	Nannizzia gypsea	ingroup	Ascomycota	125	121	121	121	49027	37215	1821	3305	14	6637	35	0.7590715320129724
F1048829	Paracoccidioides lutzii	ingroup	Ascomycota	125	124	124	124	49027	39944	907	2291	18	5683	184	0.8147347380015094
F226899	Leptographium clavigerum	ingroup	Ascomycota	125	115	114	114	49027	34251	3079	5760	14	5895	28	0.6986150488506333
F61273	Ophiostoma piceae	ingroup	Ascomycota	125	120	120	120	49027	36988	1946	3777	18	6254	44	0.754441430232321
F29908	Sporothrix schenckii	ingroup	Ascomycota	125	33	33	33	49027	9860	2521	35455	3	1159	29	0.20111367205825362
F97331	Arthrobotrys flagrans	ingroup	Ascomycota	125	122	122	122	49027	37784	1017	3306	21	6849	50	0.7706773818508169
F1814901	Dactylella cylindrospora	ingroup	Ascomycota	125	0	0	0	49027	0	5251	43776	0	0	0	0.0
F2813651	Orbilia oligospora	ingroup	Ascomycota	125	122	120	120	49027	37096	935	4465	19	6472	40	0.7566442980398556
F1940652	Gomphillus americanus	ingroup	Ascomycota	125	118	118	118	49027	36945	1040	4355	16	6637	34	0.7535643624941358
F2704026	Stictis urceolata	ingroup	Ascomycota	125	0	0	0	49027	0	1985	47042	0	0	0	0.0
F209281	Thelotrema lepadinum	ingroup	Ascomycota	125	0	0	0	49027	0	4675	44352	0	0	0	0.0
F703506	Patellaria atrata	ingroup	Ascomycota	125	118	118	118	49027	36900	2247	3616	23	6213	28	0.7526465009076632
F669869	Lobaria immixta	ingroup	Ascomycota	125	0	0	0	49027	0	2046	46981	0	0	0	0.0
F52883	Peltigera leucophlebia	ingroup	Ascomycota	125	0	0	0	49027	0	10185	38842	0	0	0	0.0
F169141	Pseudocyphellaria aurata	ingroup	Ascomycota	125	0	0	0	49027	0	4023	45004	0	0	0	0.0
F443868	Agyrium rufum	ingroup	Ascomycota	125	0	0	0	49027	0	1686	47341	0	0	0	0.0
F1006475	Circinaria calcarea	ingroup	Ascomycota	125	0	0	0	49027	0	8122	40905	0	0	0	0.0
F90408	Icmadophila ericetorum	ingroup	Ascomycota	125	0	0	0	49027	0	1607	47420	0	0	0	0.0
F1174673	Morchella importuna	ingroup	Ascomycota	125	0	0	0	49027	0	945	48082	0	0	0	0.0
F43433	Tricharina praecox	ingroup	Ascomycota	125	0	0	0	49027	0	2714	46313	0	0	0	0.0
F39416	Tuber melanosporum	ingroup	Ascomycota	125	116	115	115	49027	34360	4352	3273	21	6998	23	0.7008383135823117
F158046	Phaeomoniella chlamydospora	ingroup	Ascomycota	125	113	111	111	49027	35174	3372	4167	14	6258	42	0.7174414098353968
F703511	Trichodelitschia bisporula	ingroup	Ascomycota	125	122	122	122	49027	38195	811	3282	18	6693	28	0.7790605176739348
F4927	Hansenula anomala	ingroup	Ascomycota	125	114	114	114	49027	34697	4363	3288	22	6626	31	0.7077120770187856
F599730	Waltiozyma pijperi	ingroup	Ascomycota	125	118	116	116	49027	35543	3329	3293	17	6803	42	0.7249678748444734
F4903	Williopsis jadinii	ingroup	Ascomycota	125	119	118	118	49027	35807	3854	3290	22	6036	18	0.730352662818447
F1825666	Phyllachora maydis	ingroup	Ascomycota	125	104	102	102	49027	29285	9651	4298	14	5748	31	0.5973239235523283
F1276059	Polystigma amygdalinum	ingroup	Ascomycota	125	0	0	0	49027	0	4314	44713	0	0	0	0.0
F13502	Brettanomyces nanus	ingroup	Ascomycota	125	119	116	116	49027	35749	2761	3298	18	7168	33	0.7291696412181043
F1005962	Ogataea parapolymorpha	ingroup	Ascomycota	125	119	116	116	49027	35755	2713	3300	20	7215	24	0.7292920227629673
F4909	Pichia kudriavzevii	ingroup	Ascomycota	125	119	116	116	49027	34805	3671	3301	14	7219	17	0.7099149448263202
F48095	Alternaria dauci	ingroup	Ascomycota	125	0	0	0	49027	0	1816	47211	0	0	0	0.0
F5454	Ascochyta rabiei	ingroup	Ascomycota	125	85	85	85	49027	25460	695	19046	15	3795	16	0.5193056887021437
F5022	Plenodomus lingam	ingroup	Ascomycota	125	61	61	61	49027	17712	1208	27076	10	3001	20	0.3612703204356783
F4754	Pneumocystis carinii	ingroup	Ascomycota	125	120	118	118	49027	36710	2002	3278	17	6988	32	0.7487710853203337
F42068	Pneumocystis jirovecii	ingroup	Ascomycota	125	120	118	118	49027	36630	1575	3301	15	7470	36	0.7471393313888266
F263815	Pneumocystis murina	ingroup	Ascomycota	125	121	120	120	49027	37139	1717	3279	17	6841	34	0.7575213657780406
F2977754	Pyrenula ochraceoflavens	ingroup	Ascomycota	125	0	0	0	49027	0	4170	44857	0	0	0	0.0
F3060298	Pyrenula sp. 1 TL-2023	ingroup	Ascomycota	125	0	0	0	49027	0	5805	43222	0	0	0	0.0
F1453789	Toensbergia leucococca	ingroup	Ascomycota	125	0	0	0	49027	0	2346	46681	0	0	0	0.0
F706196	Saccharomyces arboricola	ingroup	Ascomycota	125	102	99	99	49027	31069	11063	1097	20	5757	21	0.6337120362249373
F4932	Saccharomyces cerevisiae	ingroup	Ascomycota	125	123	122	121	49027	40292	2158	0	21	6366	190	0.8218328676035653
F332112	Saccharomyces cerevisiae x Saccharomyces kudriavzevii	ingroup	Ascomycota	125	42	41	41	49027	12968	29041	3845	4	3150	19	0.26450731229730556
F1080349	Saccharomyces eubayanus	ingroup	Ascomycota	125	7	6	6	49027	1017	3261	44716	2	31	0	0.020743671854284374
