split_id	BRF1_enriched_side_tips	detected_on_enriched_side	undetected_on_enriched_side	detected_on_other_side	undetected_on_other_side	minimum_class_disagreements	SH_aLRT	UFBoot	branch_length
0x2000000000000000000000000040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	2	0	2	473	565	475	100.0	100.0	0.5052861041
0x2000000000000000000000000040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000	3	0	3	473	564	476	94.2	85.0	0.1361987528
0x400800250010000000000482000000800000100000440000000000a024000400000000055500404000000020080009080000000000000002090000000014800005200000048032000284000004000800029001000000101000140000000201080000000000504600014010000000000000400840004000010012800002	962	473	489	0	78	489	27.7	41.0	0.022233801
0x400800250010000000000482000000800000100000440000000000a024000400000000055500404000000020080009080000010000000002090000000014800005200000048032000284000004000800029001000000101000140000000201080000000000504600014010000000000000400840004000010012800002	961	473	488	0	79	488	67.9	46.0	0.0271435484
0x8000000000000000000000000000000000000000000004000000000000000000000000000000000000000000000000000000000000	2	0	2	473	565	475	89.0	99.0	0.0252489236
0x2400000000000000000000000000000000000000000000000000000000000000000000000	2	0	2	473	565	475	0.0	96.0	2.6684e-06
0x8000000000000000000000000000000002400000000004000000000000000000000000000000000000000000000000000000000000	4	0	4	473	563	477	97.6	100.0	0.0938939396
0x8000000000000000000000000000000002400000000004000000000000000000000000000200000000000000000000000000000000	5	0	5	473	562	478	99.0	99.0	0.1473986144
0x400800250010000000000482000000800000100000440000000000a024000400000000055500404000000020080009080000010000000002090000000014800005200000048032008284000004000800029001000000101002540000000205080000000000504600014010000200000000400840004000010012800002	956	473	483	0	84	483	81.5	55.0	0.0299843076
0x400800250010000000000c82000000800000100000440000000000a024000400000000055500404000000020080009080000010000000002090000000014800005200000048032008284000004000800029001000000101002540000000205080000000000504600014010000200000000400840004000010012800002	955	473	482	0	85	482	86.7	78.0	0.0514854241
0x100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000040	2	0	2	473	565	475	83.1	88.0	0.0415970515
0x100000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000040	3	0	3	473	564	476	99.1	100.0	0.1560790458
0x80000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000040000000000000000000000000000000000000000000000000000000000000000000000000000000000	2	0	2	473	565	475	99.6	100.0	0.1779775213
0x100000000080000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000040000000000000000000000000000000000000000000000000000000000000000000000000000000040	5	0	5	473	562	478	99.4	100.0	0.1621433311
0x20000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	2	0	2	473	565	475			1e-06
0x2000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000a000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	3	0	3	473	564	476	0.0	100.0	2.9957e-06
0x2000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000a000000000000020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	4	0	4	473	563	477	97.8	100.0	0.1071153181
0x2000000000000000000000000000000000000000000010000000008000000000000000000000000000000000000000000000010000000a000000000000020000000000000000000000000000000040000000000000000000000000000000000000000000000000000000000000000000000000000000040	9	0	9	473	558	482	97.1	100.0	0.0825971757
0x2000000000000000000000000000000000000000000010000000008000000000000000000000000000000000000000000000010000000a000000000000020000000000000000000000000000000040000000000000000000000000000000000000000000000000000000000000000000000080000000040	10	0	10	473	557	483	85.0	83.0	0.0350150621
0x8000000000000000000000020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	2	0	2	473	565	475	66.1	59.0	0.0284590052
0x8000000000000000000000020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000040000000000000000000000000000000000000	3	0	3	473	564	476	67.3	77.0	0.046824294
0x2000000000000000000000000000000000000000000010000000008000000000000000000000800000000000000000000002010000000a000000000000020000000000000000000000000000000040000000000000000000000000000000000000000000040000000000000000000000000080000000040	13	0	13	473	554	486	96.0	93.0	0.1234790262
