taxon_id	species_name	study_role	representative_proteins	proteins_with_model	proteins_without_catalog_model
F80884	Colletotrichum higginsianum	ingroup	14651	9155	5496
F82268	Hyaloraphidium curvatum	ingroup	15173	0	15173
F82508	Trichosporon asahii	ingroup	8311	53	8258
F84751	Pseudozyma flocculosa	ingroup	6877	4144	2733
F84753	Moesziomyces antarcticus	ingroup	6764	5641	1123
F87287	Umbilicaria vellea	ingroup	7084	15	7069
F87326	Amanita brunnescens	ingroup	14506	8	14498
F89243	Laccaria amethystina	ingroup	17550	13691	3859
F89922	Naganishia friedmannii	ingroup	7205	0	7205
F90408	Icmadophila ericetorum	ingroup	10886	2	10884
F911321	Calcarisporiella thermophila	ingroup	11722	4	11718
F91480	Alyxoria varia	ingroup	7578	3	7575
F91625	Umbelopsis isabellina	ingroup	9033	119	8914
F91930	Coniochaeta hoffmannii	ingroup	12275	27	12248
F92988	Neophaeotheca triangularis	ingroup	9078	7	9071
F933333	Amanita inopinata	ingroup	7564	7	7557
F945690	Coelomomyces lativittatus	ingroup	7608	0	7608
F97331	Arthrobotrys flagrans	ingroup	9897	9511	386
F979620	Dissophora ornata	ingroup	12578	12	12566
F979690	Gryganskiella cystojenkinii	ingroup	12079	5	12074
F979761	Lunasporangiospora selenospora	ingroup	10951	113	10838
F984962	Heterobasidion irregulare	ingroup	13269	133	13136
F994334	Jimgerdemannia flammicorona	ingroup	13124	12856	268
O10228	Trichoplax adhaerens	outgroup	11304	123	11181
O133409	Polysphondylium violaceum	outgroup	10568	121	10447
O1890364	Planoprotostelium fungivorum	outgroup	17124	15966	1158
O192875	Capsaspora owczarzaki	outgroup	8621	5196	3425
O225164	Lottia gigantea	outgroup	23818	148	23670
O2700040	Branchiostoma floridae	outgroup	23795	5	23790
O27923	Mnemiopsis leidyi	outgroup	19625	2	19623
O283909	Capitella teleta	outgroup	31977	131	31846
O400682	Amphimedon queenslandica	outgroup	20215	8244	11971
O44689	Dictyostelium discoideum	outgroup	13291	123	13168
O45351	Nematostella vectensis	outgroup	19231	103	19128
O529818	Thecamonas trahens	outgroup	10515	9471	1044
O5755	Acanthamoeba castellanii	outgroup	14968	113	14855
O5786	Dictyostelium purpureum	outgroup	12395	116	12279
O6239	Caenorhabditis elegans	outgroup	19983	935	19048
O691883	Fonticula alba	outgroup	5901	5152	749
O72019	Sphaeroforma arctica	outgroup	18213	17859	354
O7227	Drosophila melanogaster	outgroup	13986	967	13019
O81824	Monosiga brevicollis	outgroup	9202	111	9091
O946362	Salpingoeca rosetta	outgroup	11618	115	11503
OFS1403592	Creolimax fragrantissima	outgroup	8694	9	8685
OFS5426458	Abeoforma whisleri	outgroup	17283	1	17282
OFS5426470	Corallochytrium limacisporum	outgroup	7535	4	7531
OFS5426494	Chromosphaera perkinsii	outgroup	12463	1	12462
OFS5426506	Pirum gemmata	outgroup	21835	0	21835
