taxon_id	species_name	study_role	lineage	input_models	retained_models	deferred_models	retained_representatives	retained_nonself_members	retained_fraction	nonself_retained_fraction	input_markers	retained_markers	input_taxa	retained_taxa
F112072	Naohidea sebacea	ingroup	Basidiomycota;Cystobasidiomycetes;Naohideales;Naohideaceae;Naohidea	28	25	3	5	20	0.8928571428571429	0.8695652173913043	28	25	1	1
F1419009	Clathrus columnatus	ingroup	Basidiomycota;Agaricomycetes;Phallales;Clathraceae;Clathrus	8	8	0	0	8	1.0	1.0	8	8	1	1
F378194	Epithele typhae	ingroup	Basidiomycota;Agaricomycetes;Polyporales;Epitheliaceae;Epithele	28	22	6	7	15	0.7857142857142857	0.7142857142857143	28	22	1	1
F599839	Fibroporia radiculosa	ingroup	Basidiomycota;Agaricomycetes;Polyporales;Fibroporiaceae;Fibroporia	6	6	0	1	5	1.0	1.0	6	6	1	1
F5630	Laetiporus sulphureus	ingroup	Basidiomycota;Agaricomycetes;Polyporales;Laetiporaceae;Laetiporus	6	5	1	1	4	0.8333333333333334	0.8	6	5	1	1
F5365	Lentinus tigrinus	ingroup	Basidiomycota;Agaricomycetes;Polyporales;Polyporaceae;Lentinus	17	17	0	2	15	1.0	1.0	17	17	1	1
F231932	Phanerochaete carnosa	ingroup	Basidiomycota;Agaricomycetes;Polyporales;Phanerochaetaceae;Phanerochaete	8	8	0	2	6	1.0	1.0	8	8	1	1
F104341	Rhodonia placenta	ingroup	Basidiomycota;Agaricomycetes;Polyporales;Adustoporiaceae;Rhodonia	8	8	0	0	8	1.0	1.0	8	8	1	1
F181123	Austropuccinia psidii	ingroup	Basidiomycota;Pucciniomycetes;Pucciniales;Sphaerophragmiaceae;Austropuccinia	8	5	3	2	3	0.625	0.5	8	5	1	1
F60197	Cronartium quercuum	ingroup	Basidiomycota;Pucciniomycetes;Pucciniales;Coleosporiaceae;Cronartium	6	6	0	1	5	1.0	1.0	6	6	1	1
F203908	Melampsora laricis-populina	ingroup	Basidiomycota;Pucciniomycetes;Pucciniales;Melampsoraceae;Melampsora	8	8	0	2	6	1.0	1.0	8	8	1	1
F170000	Phakopsora pachyrhizi	ingroup	Basidiomycota;Pucciniomycetes;Pucciniales;Phakopsoraceae;Phakopsora	35	33	2	10	23	0.9428571428571428	0.92	35	33	1	1
F208348	Puccinia triticina	ingroup	Basidiomycota;Pucciniomycetes;Pucciniales;Pucciniaceae;Puccinia	34	33	1	5	28	0.9705882352941176	0.9655172413793104	34	33	1	1
F48021	Artomyces pyxidatus	ingroup	Basidiomycota;Agaricomycetes;Russulales;Auriscalpiaceae;Artomyces	28	25	3	3	22	0.8928571428571429	0.88	28	25	1	1
F135208	Hericium alpestre	ingroup	Basidiomycota;Agaricomycetes;Russulales;Hericiaceae;Hericium	8	7	1	4	3	0.875	0.75	8	7	1	1
F984962	Heterobasidion irregulare	ingroup	Basidiomycota;Agaricomycetes;Russulales;Bondarzewiaceae;Heterobasidion	6	6	0	0	6	1.0	1.0	6	6	1	1
F152956	Russula decolorans	ingroup	Basidiomycota;Agaricomycetes;Russulales;Russulaceae;Russula	28	27	1	5	22	0.9642857142857143	0.9565217391304348	28	27	1	1
F40492	Stereum hirsutum	ingroup	Basidiomycota;Agaricomycetes;Russulales;Stereaceae;Stereum	34	31	3	4	27	0.9117647058823529	0.9	34	31	1	1
F1314805	Vararia minispora	ingroup	Basidiomycota;Agaricomycetes;Russulales;Lachnocladiaceae;Vararia	28	26	2	5	21	0.9285714285714286	0.9130434782608695	28	26	1	1
F65672	Serendipita indica	ingroup	Basidiomycota;Agaricomycetes;Sebacinales;Serendipitaceae;Serendipita	34	32	2	15	17	0.9411764705882353	0.8947368421052632	34	32	1	1
F2600213	Serendipita sp. 400	ingroup	Basidiomycota;Agaricomycetes;Sebacinales;Serendipitaceae;Serendipita	28	22	6	10	12	0.7857142857142857	0.6666666666666666	28	22	1	1
F2600215	Serendipita sp. 405	ingroup	Basidiomycota;Agaricomycetes;Sebacinales;Serendipitaceae;Serendipita	38	33	5	8	25	0.868421052631579	0.8333333333333334	38	33	1	1
F2600216	Serendipita sp. 411	ingroup	Basidiomycota;Agaricomycetes;Sebacinales;Serendipitaceae;Serendipita	43	38	5	12	26	0.8837209302325582	0.8387096774193549	43	38	1	1
F109899	Serendipita vermifera	ingroup	Basidiomycota;Agaricomycetes;Sebacinales;Serendipitaceae;Serendipita	8	8	0	0	8	1.0	1.0	8	8	1	1
F2834505	Sertulicium niveocremeum	ingroup	Basidiomycota;Agaricomycetes;Sistotremastrales;Sistotremastraceae;Sertulicium	10	9	1	1	8	0.9	0.8888888888888888	10	9	1	1
F467971	Sistotremastrum suecicum	ingroup	Basidiomycota;Agaricomycetes;Sistotremastrales;Sistotremastraceae;Sistotremastrum	10	9	1	1	8	0.9	0.8888888888888888	10	9	1	1
F69979	Phyllozyma linderae	ingroup	Basidiomycota;Spiculogloeomycetes;Spiculogloeales;Spiculogloeaceae;Phyllozyma	28	28	0	6	22	1.0	1.0	28	28	1	1
F100910	Rhodosporidiobolus nylandii	ingroup	Basidiomycota;Microbotryomycetes;Sporidiobolales;Sporidiobolaceae;Rhodosporidiobolus	29	26	3	3	23	0.896551724137931	0.8846153846153846	29	26	1	1
F29898	Rhodotorula graminis	ingroup	Basidiomycota;Microbotryomycetes;Sporidiobolales;Sporidiobolaceae;Rhodotorula	8	7	1	2	5	0.875	0.8333333333333334	8	7	1	1
F5286	Rhodotorula toruloides	ingroup	Basidiomycota;Microbotryomycetes;Sporidiobolales;Sporidiobolaceae;Rhodotorula	6	6	0	0	6	1.0	1.0	6	6	1	1
F500713	Sporobolomyces koalae	ingroup	Basidiomycota;Microbotryomycetes;Sporidiobolales;Sporidiobolaceae;Sporobolomyces	28	25	3	2	23	0.8928571428571429	0.8846153846153846	28	25	1	1
F183962	Sporobolomyces salmoneus	ingroup	Basidiomycota;Microbotryomycetes;Sporidiobolales;Sporidiobolaceae;Sporobolomyces	28	23	5	5	18	0.8214285714285714	0.782608695652174	28	23	1	1
