taxon_id	species_name	study_role	lineage_group	dataset	selection_reason	broad_markers	broad_complete_percent	broad_single_copy_percent	broad_duplicated_percent	broad_fragmented_percent	broad_missing_percent	lineage_qc_status	lineage_markers	lineage_complete	lineage_single_copy	lineage_duplicated	lineage_fragmented	lineage_missing	lineage_complete_percent	lineage_single_copy_percent	lineage_duplicated_percent	lineage_fragmented_percent	lineage_missing_percent
F2606893	Magnusiomyces paraingens	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel	125	99.2	99.2	0.0	0.8	0.0	audited_lineage_panel	2557	1794	1765	29	22	741	70.16034415330465	69.02620258114979	1.1341415721548689	0.8603832616347282	28.979272585060617
F796027	Sugiyamaella lignohabitans	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel	125	91.2	91.2	0.0	2.4	6.4	audited_lineage_panel	2557	1552	1529	23	144	861	60.69612827532264	59.79663668361361	0.899491591709034	5.631599530700039	33.672272193977314
F5580	Aureobasidium pullulans	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel	125	100.0	100.0	0.0	0.0	0.0	audited_lineage_panel	2557	2518	2516	2	20	19	98.47477512710208	98.39655846695346	0.07821666014861166	0.7821666014861165	0.7430582714118107
F2781224	Neodothiora populina	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel	125	99.2	96.0	3.2	0.8	0.0	audited_lineage_panel	2557	2452	2200	252	9	96	95.8936253421979	86.03832616347282	9.855299178725069	0.35197497066875244	3.7543996871333594
F2024903	Zalaria obscura	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel	125	85.6	84.8	0.8	0.0	14.4	audited_lineage_panel	2557	2061	2058	3	38	458	80.60226828314431	80.48494329292139	0.11732499022291748	1.4861165428236214	17.911615174032068
F1341166	Eremomyces bilateralis	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel	125	99.2	99.2	0.0	0.0	0.8	audited_lineage_panel	2557	2471	2466	5	46	40	96.6366836136097	96.44114196323817	0.19554165037152912	1.798983183418068	1.564333202972233
F182096	Aspergillus chevalieri	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel	125	100.0	99.2	0.8	0.0	0.0	audited_lineage_panel	2557	2504	2491	13	10	43	97.92725850606179	97.41885021509582	0.5084082909659757	0.39108330074305825	1.6816581931951506
F5059	Aspergillus flavus	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel	125	100.0	100.0	0.0	0.0	0.0	audited_lineage_panel	2557	2516	2493	23	7	34	98.39655846695346	97.49706687524443	0.899491591709034	0.27375831052014077	1.3296832225263981
F746128	Aspergillus fumigatus	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel	125	100.0	100.0	0.0	0.0	0.0	audited_lineage_panel	2557	2517	2512	5	10	30	98.43566679702776	98.24012514665624	0.19554165037152912	0.39108330074305825	1.173249902229175
F1069201	Aspergillus luchuensis	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel	125	99.2	99.2	0.0	0.0	0.8	audited_lineage_panel	2557	2511	2501	10	12	34	98.20101681658193	97.80993351583888	0.39108330074305825	0.4692999608916699	1.3296832225263981
F41759	Aspergillus multicolor	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel	125	100.0	100.0	0.0	0.0	0.0	audited_lineage_panel	2557	2481	2478	3	10	66	97.02776691435275	96.91044192412984	0.11732499022291748	0.39108330074305825	2.5811497849041847
F162425	Aspergillus nidulans	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel	125	98.4	98.4	0.0	0.0	1.6	audited_lineage_panel	2557	2420	2414	6	25	112	94.64215877982011	94.40750879937427	0.23464998044583496	0.9777082518576456	4.380132968322252
F5062	Aspergillus oryzae	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel	125	95.2	94.4	0.8	0.8	4.0	audited_lineage_panel	2557	2300	2278	22	56	201	89.9491591709034	89.08877590926868	0.8603832616347282	2.190066484161126	7.8607743449354714
F1220207	Aspergillus puulaauensis	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel	125	100.0	100.0	0.0	0.0	0.0	audited_lineage_panel	2557	2531	2514	17	3	23	98.98318341806805	98.31834180680485	0.6648416112631991	0.11732499022291748	0.899491591709034
F1810926	Aspergillus stella-maris	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel	125	100.0	99.2	0.8	0.0	0.0	audited_lineage_panel	2557	2492	2485	7	8	57	97.45795854517011	97.18420023464998	0.27375831052014077	0.31286664059444663	2.229174814235432
F1810928	Aspergillus undulatus	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel	125	100.0	100.0	0.0	0.0	0.0	audited_lineage_panel	2557	2474	2469	5	9	74	96.75400860383262	96.55846695346109	0.19554165037152912	0.35197497066875244	2.894016425498631
