taxon_id	species_name	study_role	lineage	marker_links	unique_source_cds	no_source_cds	multiple_source_cds_records	alternative_product_markers	unresolved_gene_markers
F1048829	Paracoccidioides lutzii	ingroup	Ascomycota	125	125	0	0	0	0
F226899	Leptographium clavigerum	ingroup	Ascomycota	122	122	0	0	0	0
F61273	Ophiostoma piceae	ingroup	Ascomycota	123	123	0	0	0	0
F29908	Sporothrix schenckii	ingroup	Ascomycota	122	122	0	0	0	0
F97331	Arthrobotrys flagrans	ingroup	Ascomycota	124	124	0	0	0	0
F1814901	Dactylella cylindrospora	ingroup	Ascomycota	117	117	0	0	0	0
F2813651	Orbilia oligospora	ingroup	Ascomycota	125	125	0	0	0	0
F1940652	Gomphillus americanus	ingroup	Ascomycota	122	122	0	0	0	0
F2704026	Stictis urceolata	ingroup	Ascomycota	122	122	0	0	0	0
F209281	Thelotrema lepadinum	ingroup	Ascomycota	114	114	0	0	0	0
F703506	Patellaria atrata	ingroup	Ascomycota	121	121	0	0	0	0
F669869	Lobaria immixta	ingroup	Ascomycota	122	122	0	0	0	0
F52883	Peltigera leucophlebia	ingroup	Ascomycota	92	92	0	0	0	0
F169141	Pseudocyphellaria aurata	ingroup	Ascomycota	116	116	0	0	0	0
F443868	Agyrium rufum	ingroup	Ascomycota	124	124	0	0	0	0
F1006475	Circinaria calcarea	ingroup	Ascomycota	106	106	0	0	0	0
F90408	Icmadophila ericetorum	ingroup	Ascomycota	122	122	0	0	0	0
F1174673	Morchella importuna	ingroup	Ascomycota	124	124	0	0	0	0
F43433	Tricharina praecox	ingroup	Ascomycota	121	121	0	0	0	0
F39416	Tuber melanosporum	ingroup	Ascomycota	118	118	0	0	0	0
F158046	Phaeomoniella chlamydospora	ingroup	Ascomycota	116	116	0	0	0	0
F703511	Trichodelitschia bisporula	ingroup	Ascomycota	124	124	0	0	0	0
F4927	Hansenula anomala	ingroup	Ascomycota	116	116	0	0	0	0
F599730	Waltiozyma pijperi	ingroup	Ascomycota	120	120	0	0	0	0
F4903	Williopsis jadinii	ingroup	Ascomycota	121	121	0	0	0	0
F1825666	Phyllachora maydis	ingroup	Ascomycota	109	109	0	0	0	0
F1276059	Polystigma amygdalinum	ingroup	Ascomycota	116	116	0	0	0	0
F13502	Brettanomyces nanus	ingroup	Ascomycota	121	121	0	0	0	0
F1005962	Ogataea parapolymorpha	ingroup	Ascomycota	121	121	0	0	0	0
F4909	Pichia kudriavzevii	ingroup	Ascomycota	121	121	0	0	0	0
F48095	Alternaria dauci	ingroup	Ascomycota	124	124	0	0	0	0
F5454	Ascochyta rabiei	ingroup	Ascomycota	125	125	0	0	0	0
F5022	Plenodomus lingam	ingroup	Ascomycota	124	124	0	0	0	0
F4754	Pneumocystis carinii	ingroup	Ascomycota	122	122	0	0	0	0
F42068	Pneumocystis jirovecii	ingroup	Ascomycota	122	122	0	0	0	0
F263815	Pneumocystis murina	ingroup	Ascomycota	123	123	0	0	0	0
F2977754	Pyrenula ochraceoflavens	ingroup	Ascomycota	114	114	0	0	0	0
F3060298	Pyrenula sp. 1 TL-2023	ingroup	Ascomycota	109	109	0	0	0	0
F1453789	Toensbergia leucococca	ingroup	Ascomycota	119	119	0	0	0	0
F706196	Saccharomyces arboricola	ingroup	Ascomycota	104	104	0	0	0	0
F4932	Saccharomyces cerevisiae	ingroup	Ascomycota	123	123	0	0	0	0
F332112	Saccharomyces cerevisiae x Saccharomyces kudriavzevii	ingroup	Ascomycota	49	49	0	0	0	0
F1080349	Saccharomyces eubayanus	ingroup	Ascomycota	120	120	0	0	0	0
F114524	Saccharomyces kudriavzevii	ingroup	Ascomycota	122	122	0	0	0	0
F114525	Saccharomyces mikatae	ingroup	Ascomycota	122	122	0	0	0	0
F27291	Saccharomyces paradoxus	ingroup	Ascomycota	122	122	0	0	0	0
F27292	Saccharomyces pastorianus	ingroup	Ascomycota	14	14	0	0	0	0
F230603	Saccharomyces uvarum	ingroup	Ascomycota	121	121	0	0	0	0
F29833	Hanseniaspora uvarum	ingroup	Ascomycota	101	101	0	0	0	0
F56409	Hanseniaspora vineae	ingroup	Ascomycota	119	119	0	0	0	0
F36035	Saccharomycodes ludwigii	ingroup	Ascomycota	120	120	0	0	0	0
F1099800	Saitoella coloradoensis	ingroup	Ascomycota	124	124	0	0	0	0
F5606	Saitoella complicata	ingroup	Ascomycota	122	122	0	0	0	0
F273283	Sarea resinae	ingroup	Ascomycota	125	125	0	0	0	0
F400354	Loxospora ochrophaea	ingroup	Ascomycota	119	119	0	0	0	0
F1042397	Schaereria dolodes	ingroup	Ascomycota	118	118	0	0	0	0
F4897	Schizosaccharomyces japonicus	ingroup	Ascomycota	121	121	0	0	0	0
F2545709	Schizosaccharomyces osmophilus	ingroup	Ascomycota	122	122	0	0	0	0
F4896	Schizosaccharomyces pombe	ingroup	Ascomycota	121	121	0	0	0	0
F241526	Candida africana	ingroup	Ascomycota	69	69	0	0	0	0
F5476	Candida albicans	ingroup	Ascomycota	118	118	0	0	0	0
F42374	Candida dubliniensis	ingroup	Ascomycota	118	118	0	0	0	0
F5479	Candida maltosa	ingroup	Ascomycota	113	113	0	0	0	0
F5482	Candida tropicalis	ingroup	Ascomycota	115	115	0	0	0	0
F5486	Candida viswanathii	ingroup	Ascomycota	31	31	0	0	0	0
F2609844	Podospora pseudoanserina	ingroup	Ascomycota	124	124	0	0	0	0
F72144	Remersonia thermophila	ingroup	Ascomycota	124	124	0	0	0	0
F5147	Sordaria macrospora	ingroup	Ascomycota	124	124	0	0	0	0
F2754530	Protomyces lactucae-debilis	ingroup	Ascomycota	122	122	0	0	0	0
F5011	Taphrina deformans	ingroup	Ascomycota	112	112	0	0	0	0
F1145299	Brigantiaea leucoxantha	ingroup	Ascomycota	105	105	0	0	0	0
F1145321	Letrouitia subvulpina	ingroup	Ascomycota	111	111	0	0	0	0
F116982	Xanthoria calcicola	ingroup	Ascomycota	113	113	0	0	0	0
F3342545	Pseudogymnoascus australis	ingroup	Ascomycota	121	121	0	0	0	0
F655981	Pseudogymnoascus destructans	ingroup	Ascomycota	122	122	0	0	0	0
F342668	Pseudogymnoascus verrucosus	ingroup	Ascomycota	125	125	0	0	0	0
F1116844	Thelocarpon impressellum	ingroup	Ascomycota	124	124	0	0	0	0
F2939404	Thelocarpon superellum	ingroup	Ascomycota	121	121	0	0	0	0
F1093900	Thyridium curvatum	ingroup	Ascomycota	124	124	0	0	0	0
F223192	Phaeoacremonium minimum	ingroup	Ascomycota	118	118	0	0	0	0
F2918522	Lignoscripta atroalba	ingroup	Ascomycota	124	124	0	0	0	0
F129515	Trapelia coarctata	ingroup	Ascomycota	119	119	0	0	0	0
F51930	Tortispora caseinolytica	ingroup	Ascomycota	118	118	0	0	0	0
