taxon_id	columns	canonical_before	canonical_after	masked_marker_observations
F61395	49027	43484	43484	0
F61397	49027	40086	40086	0
F61424	49027	36179	36179	0
F63146	49027	47305	47305	0
F63378	49027	47423	47423	0
F63402	49027	47206	47206	0
F63577	49027	44773	44773	0
F64504	49027	47248	47248	0
F64505	49027	40852	40852	0
F64508	49027	45485	45485	0
F64517	49027	46095	46095	0
F64525	49027	45535	45535	0
F64526	49027	46983	46983	0
F64571	49027	47563	47563	0
F64632	49027	47117	47117	0
F65468	49027	47649	47649	0
F655981	49027	47174	47174	0
F65672	49027	45015	45015	0
F658196	49027	47339	47339	0
F669869	49027	46981	46981	0
F67723	49027	48352	48352	0
F68786	49027	37854	37854	0
F69979	49027	47939	47939	0
F703497	49027	48413	48413	0
F703506	49027	46780	46780	0
F703511	49027	48216	48216	0
F70536	49027	13830	13830	0
F705562	49027	47733	47733	0
F706196	49027	37964	37964	0
F708070	49027	47484	47484	0
F710243	49027	47007	47007	0
F71933	49027	43424	43424	0
F72144	49027	47698	47698	0
F73868	49027	27270	27270	0
F741139	49027	48265	48265	0
F746128	49027	48338	48338	0
F76012	49027	45246	45246	0
F76775	49027	46472	46472	0
F76777	49027	43539	43539	0
F77020	49027	45636	45636	0
F78915	49027	34978	34978	0
F78921	49027	5613	5613	0
F796027	49027	43544	43544	0
F796604	49027	45416	45416	0
F80663	49027	46449	46449	0
F80884	49027	47268	47268	0
F82268	49027	47479	47479	0
F82508	49027	43218	43218	0
F84751	49027	46342	46342	0
F84753	49027	46764	46764	0
F87287	49027	43850	43850	0
F87326	49027	36897	36897	0
F89243	49027	46924	46924	0
F89922	49027	45473	45473	0
F90408	49027	47420	47420	0
F911321	49027	46973	46973	0
F91480	49027	46151	46151	0
F91625	49027	47542	47542	0
F91930	49027	48305	48305	0
F92988	49027	46371	46371	0
F933333	49027	46733	46733	0
F945690	49027	38844	38844	0
F97331	49027	48010	48010	0
F979620	49027	45757	45757	0
F979690	49027	46668	46668	0
F979761	49027	43724	43724	0
F984962	49027	46213	46213	0
F994334	49027	31061	31061	0
O10228	49027	45878	45878	0
O133409	49027	47387	47387	0
O1890364	49027	43643	43643	0
O192875	49027	44062	44062	0
O225164	49027	46487	46487	0
O2700040	49027	38962	38962	0
O27923	49027	39250	39250	0
O283909	49027	44313	44313	0
O400682	49027	42983	42983	0
O44689	49027	46930	46930	0
O45351	49027	36244	36244	0
O529818	49027	43334	43334	0
O5755	49027	38808	38808	0
O5786	49027	45761	45761	0
O6239	49027	44303	44303	0
O691883	49027	39533	39533	0
O72019	49027	30100	30100	0
O7227	49027	30296	30296	0
O81824	49027	41840	41840	0
O946362	49027	45134	45134	0
OFS1403592	49027	47404	47404	0
OFS5426458	49027	1804	1804	0
OFS5426470	49027	47211	47211	0
OFS5426494	49027	47175	47175	0
OFS5426506	49027	1224	1224	0
