taxon_id	species_name	study_role	lineage	stage	proteins	source_sha256	input_path	reason
F64525	Podila minutissima	ingroup	Mortierellomycota;Mortierellomycetes;Mortierellales;Mortierellaceae;Podila	additional	11885	4a1b7e0f31bc2d1d36d47e2b3746e3d8f01d834b58ac9cbb31de315217dac853	data/orthology_inputs/v1/additional/F64525.faa	Included in full-cohort species assignment and gene-tree analysis
F64526	Umbelopsis nana	ingroup	Mucoromycota;Umbelopsidomycetes;Umbelopsidales;Umbelopsidaceae;Umbelopsis	additional	8971	ec0c5b6603f0cbf682c488e116292126f59ed9f76d475c2cf2e6d3b1aee9f9ba	data/orthology_inputs/v1/additional/F64526.faa	Included in full-cohort species assignment and gene-tree analysis
F64571	Lobosporangium transversale	ingroup	Mortierellomycota;Mortierellomycetes;Mortierellales;Mortierellaceae;Lobosporangium	additional	11818	97347fd6ef51911871483a0a2873a1d5e16e91e264c563ae88e5ac12baa878e3	data/orthology_inputs/v1/additional/F64571.faa	Included in full-cohort species assignment and gene-tree analysis
F64632	Mycotypha africana	ingroup	Mucoromycota;Mucoromycetes;Mucorales;Mycotyphaceae;Mycotypha	additional	10914	13ac3460bbcbfff4a7fdacfa124f314f2180cd75235b5f2c0eef9b78d64f42dd	data/orthology_inputs/v1/additional/F64632.faa	Included in full-cohort species assignment and gene-tree analysis
F65468	Trichoderma ghanense	ingroup	Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Trichoderma	additional	10428	5a50e06528617576c36a9ba811484f662c054b4fb0198286bc859d18c1fe17c0	data/orthology_inputs/v1/additional/F65468.faa	Included in full-cohort species assignment and gene-tree analysis
F655981	Pseudogymnoascus destructans	ingroup	Ascomycota;Leotiomycetes;Thelebolales;Thelebolaceae;Pseudogymnoascus	additional	9405	61b6e3dd886760e8caca46b3b119304d1cb52483f13c37b233469f1a0a19d779	data/orthology_inputs/v1/additional/F655981.faa	Included in full-cohort species assignment and gene-tree analysis
F65672	Serendipita indica	ingroup	Basidiomycota;Agaricomycetes;Sebacinales;Serendipitaceae;Serendipita	additional	9435	35d7e74b8fc9157e0387adef81adf1c979c198e95aec5cc69e72c4075b60e06e	data/orthology_inputs/v1/additional/F65672.faa	Included in full-cohort species assignment and gene-tree analysis
F658196	Glomus cerebriforme	ingroup	Glomeromycota;Glomeromycetes;Glomerales;Glomeraceae;Glomus	core	21154	5fb2a4cdcd8c623ab5f0068f931c1eed403bbe7d98ed45d2e983ab8caf6f4832	data/orthology_inputs/v1/core/F658196.faa	Core coverage of ingroup group Glomeromycota
F669869	Lobaria immixta	ingroup	Ascomycota;Lecanoromycetes;Peltigerales;Lobariaceae;Lobaria	additional	12073	70da6818cf79a7e50e14777d95cc3744d4bb7296e833c5b30da91c44561f116c	data/orthology_inputs/v1/additional/F669869.faa	Included in full-cohort species assignment and gene-tree analysis
F67723	Amanita phalloides	ingroup	Basidiomycota;Agaricomycetes;Agaricales;Amanitaceae;Amanita	core	8742	8a3e2bf5b2769921cc9faa3dc5f2b9bf68761ae691bf7e1def2ac07d154ebde9	data/orthology_inputs/v1/core/F67723.faa	Additional core taxonomic-prefix diversity; QC tie-break
F68786	Sphaerobolus stellatus	ingroup	Basidiomycota;Agaricomycetes;Geastrales;Sphaerobolaceae;Sphaerobolus	additional	35177	2b8c92723c24e1be552b175b3dae0676402b8a2d13d8808e55c840c9b2907673	data/orthology_inputs/v1/additional/F68786.faa	Included in full-cohort species assignment and gene-tree analysis
F69979	Phyllozyma linderae	ingroup	Basidiomycota;Spiculogloeomycetes;Spiculogloeales;Spiculogloeaceae;Phyllozyma	core	9061	f3f82da055ebad8e1374d010f6390060203bfb53e55047c6da92889384686e2a	data/orthology_inputs/v1/core/F69979.faa	Core coverage of ingroup group Basidiomycota
F703497	Microthyrium microscopicum	ingroup	Ascomycota;Dothideomycetes;Microthyriales;Microthyriaceae;Microthyrium	additional	12493	57a67944225907cb98e66bdce3422afc958391227029be95efee597c1167c25f	data/orthology_inputs/v1/additional/F703497.faa	Included in full-cohort species assignment and gene-tree analysis
F703506	Patellaria atrata	ingroup	Ascomycota;Dothideomycetes;Patellariales;Patellariaceae;Patellaria	additional	9779	35fc4ea0f3fe7e7bdff9abc8034c2fa9f13f4514825463d95b7d1664614f590d	data/orthology_inputs/v1/additional/F703506.faa	Included in full-cohort species assignment and gene-tree analysis
F703511	Trichodelitschia bisporula	ingroup	Ascomycota;Dothideomycetes;Phaeotrichales;Phaeotrichaceae;Trichodelitschia	additional	10178	67f60beda9d994771850eeed7a9934a788305cea65475493ac2cb8c2e201de59	data/orthology_inputs/v1/additional/F703511.faa	Included in full-cohort species assignment and gene-tree analysis
F70536	Edhazardia aedis	ingroup	Microsporidia;Culicosporidae;Edhazardia	additional	4190	d7a1eec78fe0508dc5e8bfb6ef229aedc25945a08c3b7c17978fdfb7e687d434	data/orthology_inputs/v1/additional/F70536.faa	Included in full-cohort species assignment and gene-tree analysis
F705562	Polychaeton citri	ingroup	Ascomycota;Dothideomycetes;Capnodiales;Capnodiaceae;Polychaeton	additional	10576	19f3a6f29f09dbd59b5941766d91f7c5df7887207bcbbf089010f36edad67cfb	data/orthology_inputs/v1/additional/F705562.faa	Included in full-cohort species assignment and gene-tree analysis
F706196	Saccharomyces arboricola	ingroup	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces	additional	3659	74e0bd7ae5ef1992bdd63d218ea79a8be296aa7ff3a4701b5030aec5fff7a1f8	data/orthology_inputs/v1/additional/F706196.faa	Included in full-cohort species assignment and gene-tree analysis
F708070	Mucor velutinosus	ingroup	Mucoromycota;Mucoromycetes;Mucorales;Mucoraceae;Mucor	additional	13295	19c4d0727dd13c040b15646711874bab3a03ec8e1bf5d5bd98251461bb73af5c	data/orthology_inputs/v1/additional/F708070.faa	Included in full-cohort species assignment and gene-tree analysis
F710243	Colletotrichum fioriniae	ingroup	Ascomycota;Sordariomycetes;Glomerellales;Glomerellaceae;Colletotrichum	additional	11830	1867e08cff0ad3b4cef857bfe5528af0adab6180fb26e5eb036a247d4708b42a	data/orthology_inputs/v1/additional/F710243.faa	Included in full-cohort species assignment and gene-tree analysis
F71933	Amanita rubescens	ingroup	Basidiomycota;Agaricomycetes;Agaricales;Amanitaceae;Amanita	additional	16076	d0a8fd35cc61415b0691b2666d6a9bdea5c041c47a2f1b59df69b040574d14eb	data/orthology_inputs/v1/additional/F71933.faa	Included in full-cohort species assignment and gene-tree analysis
F72144	Remersonia thermophila	ingroup	Ascomycota;Sordariomycetes;Sordariales;Chaetomiaceae;Remersonia	additional	7595	0bc68c75819465dfd07b638b457f55d62ab5d8684b58eb60372f94e08ac78c92	data/orthology_inputs/v1/additional/F72144.faa	Included in full-cohort species assignment and gene-tree analysis
F73868	Piromyces sp. E2	ingroup	Neocallimastigomycota;Neocallimastigomycetes;Neocallimastigales;Neocallimastigaceae;Piromyces	additional	14612	47d7757f857ae5d3ced8b850d656e02a83f8720c86ff5fc33a2b2c277b1117fd	data/orthology_inputs/v1/additional/F73868.faa	Included in full-cohort species assignment and gene-tree analysis
F741139	Lepidopterella palustris	ingroup	Ascomycota;Dothideomycetes;Mytilinidiales;Argynnaceae;Lepidopterella	core	13860	606a4360d654a85d778e30b99c2d6c9993f1fee8720f78448f3300e0cb4cc85e	data/orthology_inputs/v1/core/F741139.faa	Additional core taxonomic-prefix diversity; QC tie-break
