split_id	BRF1_enriched_side_tips	detected_on_enriched_side	undetected_on_enriched_side	detected_on_other_side	undetected_on_other_side	minimum_class_disagreements	SH_aLRT	UFBoot	branch_length
0x100000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000040000000000000000000000000000000000000000000000000000000000000000000000000000020000000	4	0	4	473	563	477	0.0	45.0	2.3779e-06
0x200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004000000000000000000000000000000000000000000000000000000000000000000000000000000000000	2	0	2	473	565	475			0.0
0x200000000000000000000000000000000000000000000000200000000000000000000000000000000000000000000000000000000000000000000004000000000000000000000000000000000000000000000000000000000000000000000000000000000000	3	0	3	473	564	476			0.0
0x200000000000000000000000000000000000000000040000200000000000000000000000000000000000000000000000000000000000000000000004000000000000000000000000000000000000000000000000000000000000000000000000000000000000	4	0	4	473	563	477			1e-06
0x20000000000000000000000000000000000000000004000020000000000000000000000000000000000000000000000000000000000000000000000c000000000000000000000000000000000000000000000000000000000000000000000000000000000000	5	0	5	473	562	478	0.0	97.0	2.7593e-06
0x10020000000000100000000000000000000000000000004000020000000000000000000000000000000000000000000000000000000000000000000004c000000000000000000000000000000000000000000000000000000000000000000000000000020000000	9	0	9	473	558	482	84.2	61.0	0.0143223107
0x10020000000000180000000000000000000000000000004000020000000000000000000000000000000000000000000000000000000000000000000004c000000000000000000000000000000000000000000000000000000000000000000000000000020000000	10	0	10	473	557	483	91.1	94.0	0.0825026348
0x2000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000	2	0	2	473	565	475	84.8	84.0	0.0792980533
0x2000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000040000000000	3	0	3	473	564	476	78.9	66.0	0.0386521515
0x2000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000040000000000	4	0	4	473	563	477	91.7	90.0	0.1038227832
