taxon_id	species_name	study_role	manifest_lineage_group	total_markers	recovered_sequence_markers	markers_with_source_model	reuse_candidate_outside_catalog	no_candidate_in_query_snapshot	sequence_present_model_missing	sequence_missing	model_fraction_of_recovered_markers	model_fraction_of_all_markers
F67723	Amanita phalloides	ingroup	Basidiomycota	125	125	0	0	125	125	0	0.0	0.0
F1004511	Amanita polypyramis	ingroup	Basidiomycota	125	109	0	0	109	109	16	0.0	0.0
F71933	Amanita rubescens	ingroup	Basidiomycota	125	109	0	0	109	109	16	0.0	0.0
F235537	Amanita thiersii	ingroup	Basidiomycota	125	125	8	114	3	117	0	0.064	0.064
F89243	Laccaria amethystina	ingroup	Basidiomycota	125	121	6	105	10	115	4	0.049586776859504134	0.048
F29883	Laccaria bicolor	ingroup	Basidiomycota	125	111	8	101	2	103	14	0.07207207207207207	0.064
F44565	Sterigmatomyces hyphaenes	ingroup	Basidiomycota	125	124	0	0	124	124	1	0.0	0.0
F2831993	Plicatura crispa	ingroup	Basidiomycota	125	123	8	4	111	115	2	0.06504065040650407	0.064
F1759441	Athelia psychrophila	ingroup	Basidiomycota	125	114	8	96	10	106	11	0.07017543859649122	0.064
F2748771	Athelia sp. TMB	ingroup	Basidiomycota	125	43	0	0	43	43	82	0.0	0.0
F80663	Piloderma croceum	ingroup	Basidiomycota	125	121	6	113	2	115	4	0.049586776859504134	0.048
F1938712	Atractiella rhizophila	ingroup	Basidiomycota	125	101	0	0	101	101	24	0.0	0.0
F1331295	Auricularia subglabra	ingroup	Basidiomycota	125	118	3	0	115	115	7	0.025423728813559324	0.024
F2829486	Auriculariales sp. MPI-PUGE-AT-0066	ingroup	Basidiomycota	125	121	0	0	121	121	4	0.0	0.0
F5219	Exidia glandulosa	ingroup	Basidiomycota	125	97	7	88	2	90	28	0.07216494845360824	0.056
