taxon_id	species_name	study_role	lineage_group	dataset	selection_reason
F710243	Colletotrichum fioriniae	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F474922	Colletotrichum gloeosporioides	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F80884	Colletotrichum higginsianum	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F2283408	Colletotrichum jinshuiense	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F1095194	Colletotrichum karsti	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F145971	Colletotrichum lupini	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F1209934	Colletotrichum tamarilloi	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F5570	Cenococcum geophilum	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F574774	Glonium stellatum	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F5101	Amorphotheca resinae	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F40559	Botrytis cinerea	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F2656787	Venustampulla echinocandica	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F195108	Fusarium falciforme	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F5127	Fusarium fujikuroi	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F5518	Fusarium graminearum	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F1328300	Fusarium keratoplasticum	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F1042133	Fusarium musae	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F5507	Fusarium oxysporum	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F36050	Fusarium poae	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F101028	Fusarium pseudograminearum	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F5128	Fusarium sambucinum	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F117187	Fusarium verticillioides	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F173216	Trichoderma aggressivum	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F101201	Trichoderma asperellum	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F63577	Trichoderma atroviride	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F2034170	Trichoderma breve	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F1738374	Trichoderma camerunense	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F58853	Trichoderma citrinoviride	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F549676	Trichoderma evansii	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F398673	Trichoderma gamsii	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F65468	Trichoderma ghanense	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F5544	Trichoderma harzianum	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F2732470	Bacidia gigantensis	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F209136	Lepraria neglecta	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F560253	Letharia lupina	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F2939399	Claussenomyces sp. TS43310	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F3384825	Phaeococcomyces sp. EXF-18165	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F174425	Lichina confinis	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F318774	Phylliscum demangeonii	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F2796175	Watsoniomyces obsoletus	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F578093	Lineolata rhizophorae	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F1125753	Limtongia smithiae	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F383834	Lipomyces doorenjongii	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F44089	Neoaidaea tothii	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F339359	Zalerion maritima	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F36779	Gaeumannomyces tritici	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F148304	Magnaporthiopsis poae	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F148305	Pyricularia grisea	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F2035830	Berkeleyomyces rouxiae	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F2019550	Ceratocystis lukuohia	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F563466	Scedosporium apiospermum	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F703497	Microthyrium microscopicum	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F122368	Cercospora beticola	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F574656	Recurvomyces mirabilis	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F1690608	Saxophila tyrrhenica	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F2601811	Elsinoe batatas	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F147570	Myriangium duriaei	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F2082308	Sphaceloma murrayae	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F741139	Lepidopterella palustris	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F390894	Lophium mytilinum	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F574789	Mytilinidion resinicola	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F48691	Neolecta irregularis	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F92988	Neophaeotheca triangularis	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F199306	Coccidioides posadasii	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F63402	Nannizzia gypsea	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F1048829	Paracoccidioides lutzii	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F226899	Leptographium clavigerum	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F61273	Ophiostoma piceae	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F29908	Sporothrix schenckii	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F97331	Arthrobotrys flagrans	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F1814901	Dactylella cylindrospora	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F2813651	Orbilia oligospora	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F1940652	Gomphillus americanus	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F2704026	Stictis urceolata	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F209281	Thelotrema lepadinum	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F703506	Patellaria atrata	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F669869	Lobaria immixta	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F52883	Peltigera leucophlebia	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F169141	Pseudocyphellaria aurata	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F443868	Agyrium rufum	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F1006475	Circinaria calcarea	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F90408	Icmadophila ericetorum	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F1174673	Morchella importuna	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F43433	Tricharina praecox	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F39416	Tuber melanosporum	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F158046	Phaeomoniella chlamydospora	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F703511	Trichodelitschia bisporula	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F4927	Hansenula anomala	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F599730	Waltiozyma pijperi	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F4903	Williopsis jadinii	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F1825666	Phyllachora maydis	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F1276059	Polystigma amygdalinum	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F13502	Brettanomyces nanus	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F1005962	Ogataea parapolymorpha	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F4909	Pichia kudriavzevii	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F48095	Alternaria dauci	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F5454	Ascochyta rabiei	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
