taxon_id	proteins_checked	marker_query_links	additional_query_links
F4927	6417	116	6301
F4932	6021	123	5898
F500713	6590	125	6465
F5011	4663	112	4551
F5022	11837	124	11713
F50376	10820	124	10696
F5059	13707	125	13582
F5062	12074	120	11954
F50956	23936	120	23816
F50990	17134	122	17012
F5101	9642	125	9517
F5116	11588	112	11476
F5127	14810	122	14688
F5128	13017	123	12894
F5147	10309	124	10185
F51930	4656	118	4538
F5207	6975	123	6852
F5208	6341	124	6217
F5210	8301	124	8177
F5219	26682	97	26585
F5281	6805	123	6682
F5286	8140	125	8015
F52883	8197	92	8105
F5364	12569	124	12445
F5365	15364	122	15242
F5414	9521	124	9397
F54195	6785	120	6665
F5454	11525	125	11400
F5476	6030	119	5911
F5479	5431	113	5318
F5482	6254	115	6139
F5486	10841	31	10810
F549676	11879	123	11756
F5507	16197	125	16072
F5518	13312	124	13188
F552467	6694	124	6570
F5544	14064	124	13940
F5570	14695	121	14574
F5580	11844	125	11719
F560253	11013	125	10888
F5606	7023	122	6901
F5619	8094	124	7970
F5630	13739	123	13616
F563466	8376	101	8275
F56409	4631	119	4512
F56493	13337	121	13216
F574656	10917	125	10792
F574677	7074	125	6949
F574774	14277	121	14156
F574789	16792	125	16667
F578093	10230	122	10108
F58291	10888	121	10767
F58853	9734	125	9609
F588596	30147	118	30029
F58919	7005	121	6884
F599730	10149	120	10029
F599839	9184	117	9067
F60197	13765	120	13645
F6035	2122	62	2060
F6039	3079	60	3019
F604196	12120	114	12006
F610337	9284	86	9198
F61273	8884	123	8761
F61395	9350	117	9233
F61397	7284	117	7167
F61424	7338	109	7229
F63146	12357	122	12235
F63378	6977	125	6852
F63402	8921	123	8798
F63577	13127	117	13010
F64504	8889	125	8764
F64505	9981	109	9872
F64508	9427	122	9305
F64517	12571	123	12448
F64525	11885	118	11767
F64526	8971	122	8849
F64571	11818	121	11697
F64632	10914	122	10792
F65468	10428	122	10306
F655981	9405	122	9283
F65672	9435	118	9317
F658196	21154	124	21030
F669869	12073	122	11951
F67723	8742	125	8617
F68786	35177	101	35076
F69979	9061	125	8936
F703497	12493	125	12368
F703506	9779	121	9658
F703511	10178	124	10054
F70536	4190	54	4136
F705562	10576	125	10451
F706196	3659	104	3555
F708070	13295	121	13174
F710243	11830	120	11710
F71933	16076	109	15967
F72144	7595	124	7471
F73868	14612	70	14542
F741139	13860	125	13735
