taxon_id	species_name	duplicated_markers	duplicated_markers_one_full_sequence	markers_with_identical_distinct_gene_pair	distinct_gene_pairs	exact_identical_distinct_gene_pairs
F36779	Gaeumannomyces tritici	3	1	0	0	0
F148304	Magnaporthiopsis poae	2	0	0	6	0
F148305	Pyricularia grisea	1	0	0	6	0
F2035830	Berkeleyomyces rouxiae	1	0	0	1	0
F2019550	Ceratocystis lukuohia	0	0	0	0	0
F563466	Scedosporium apiospermum	2	0	0	2	0
F703497	Microthyrium microscopicum	0	0	0	0	0
F122368	Cercospora beticola	0	0	0	0	0
F574656	Recurvomyces mirabilis	0	0	0	0	0
F1690608	Saxophila tyrrhenica	0	0	0	0	0
F2601811	Elsinoe batatas	0	0	0	0	0
F147570	Myriangium duriaei	0	0	0	0	0
F2082308	Sphaceloma murrayae	0	0	0	0	0
F741139	Lepidopterella palustris	0	0	0	0	0
F390894	Lophium mytilinum	0	0	0	0	0
F574789	Mytilinidion resinicola	0	0	0	0	0
F48691	Neolecta irregularis	0	0	0	0	0
F92988	Neophaeotheca triangularis	6	0	0	6	0
F199306	Coccidioides posadasii	3	1	0	0	0
F63402	Nannizzia gypsea	2	0	0	2	0
F1048829	Paracoccidioides lutzii	0	0	0	0	0
F226899	Leptographium clavigerum	0	0	0	0	0
F61273	Ophiostoma piceae	0	0	0	0	0
F29908	Sporothrix schenckii	0	0	0	0	0
F97331	Arthrobotrys flagrans	1	0	0	0	0
F1814901	Dactylella cylindrospora	0	0	0	0	0
F2813651	Orbilia oligospora	0	0	0	0	0
F1940652	Gomphillus americanus	0	0	0	0	0
F2704026	Stictis urceolata	0	0	0	0	0
F209281	Thelotrema lepadinum	4	0	0	4	0
F703506	Patellaria atrata	1	0	0	1	0
F669869	Lobaria immixta	1	0	0	1	0
F52883	Peltigera leucophlebia	2	0	0	2	0
F169141	Pseudocyphellaria aurata	5	0	0	5	0
F443868	Agyrium rufum	1	0	0	1	0
F1006475	Circinaria calcarea	2	0	0	7	0
F90408	Icmadophila ericetorum	2	0	0	4	0
F1174673	Morchella importuna	0	0	0	0	0
F43433	Tricharina praecox	3	1	1	3	1
F39416	Tuber melanosporum	0	0	0	0	0
F158046	Phaeomoniella chlamydospora	0	0	0	0	0
F703511	Trichodelitschia bisporula	0	0	0	0	0
F4927	Hansenula anomala	4	1	1	4	1
F599730	Waltiozyma pijperi	1	0	0	1	0
F4903	Williopsis jadinii	2	1	1	2	1
F1825666	Phyllachora maydis	3	0	0	1	0
F1276059	Polystigma amygdalinum	2	0	0	2	0
F13502	Brettanomyces nanus	0	0	0	0	0
F1005962	Ogataea parapolymorpha	0	0	0	0	0
F4909	Pichia kudriavzevii	0	0	0	0	0
F48095	Alternaria dauci	0	0	0	0	0
F5454	Ascochyta rabiei	0	0	0	0	0
F5022	Plenodomus lingam	0	0	0	0	0
F4754	Pneumocystis carinii	0	0	0	0	0
F42068	Pneumocystis jirovecii	1	0	0	1	0
F263815	Pneumocystis murina	0	0	0	0	0
F2977754	Pyrenula ochraceoflavens	0	0	0	0	0
F3060298	Pyrenula sp. 1 TL-2023	0	0	0	0	0
F1453789	Toensbergia leucococca	1	0	0	1	0
F706196	Saccharomyces arboricola	1	0	0	1	0
F4932	Saccharomyces cerevisiae	0	0	0	0	0
F332112	Saccharomyces cerevisiae x Saccharomyces kudriavzevii	67	0	0	67	0
F1080349	Saccharomyces eubayanus	1	0	0	1	0
F114524	Saccharomyces kudriavzevii	0	0	0	0	0
F114525	Saccharomyces mikatae	0	0	0	0	0
F27291	Saccharomyces paradoxus	1	0	0	1	0
F27292	Saccharomyces pastorianus	109	1	1	111	1
F230603	Saccharomyces uvarum	1	0	0	1	0
F29833	Hanseniaspora uvarum	1	0	0	1	0
F56409	Hanseniaspora vineae	0	0	0	0	0
F36035	Saccharomycodes ludwigii	0	0	0	0	0
F1099800	Saitoella coloradoensis	1	0	0	1	0
F5606	Saitoella complicata	2	0	0	2	0
F273283	Sarea resinae	0	0	0	0	0
F400354	Loxospora ochrophaea	0	0	0	0	0
F1042397	Schaereria dolodes	0	0	0	0	0
F4897	Schizosaccharomyces japonicus	2	0	0	4	0
F2545709	Schizosaccharomyces osmophilus	2	0	0	2	0
F4896	Schizosaccharomyces pombe	3	1	1	3	1
F241526	Candida africana	3	1	1	3	1
F5476	Candida albicans	4	2	2	4	2
F42374	Candida dubliniensis	4	2	2	4	2
F5479	Candida maltosa	5	2	2	10	2
F5482	Candida tropicalis	4	1	1	6	1
F5486	Candida viswanathii	84	6	6	94	6
F2609844	Podospora pseudoanserina	0	0	0	0	0
F72144	Remersonia thermophila	0	0	0	0	0
F5147	Sordaria macrospora	1	0	0	6	0
F2754530	Protomyces lactucae-debilis	2	0	0	2	0
F5011	Taphrina deformans	0	0	0	0	0
F1145299	Brigantiaea leucoxantha	1	0	0	1	0
