taxon_id	species_name	study_role	assembly_accession	match_status	queried_genus	source_genus	source_rank	source_record_id	source_excel_rows	source_doi	source_phylum	source_class	source_family	taxon_identity_flags	source_genus_comment_present	source_lifestyle_comment_present	species_verified	eligible_for_confirmatory_tests	candidate_primary_lifestyle	candidate_secondary_lifestyle	candidate_endophytic_capability	candidate_plant_pathogenic_capacity	candidate_decay_substrate	candidate_decay_type	candidate_aquatic_habitat	candidate_animal_biotrophic_capacity	candidate_growth_form	candidate_fruitbody_type
F1099800	Saitoella coloradoensis	ingroup	GCA_051599425.1	genus_candidate_requires_species_verification	Saitoella	Saitoella	genus	jrk10133	7818	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Taphrinomycetes	Protomycetaceae		False	False	False	False	soil_saprotroph				soil		non-aquatic		yeast	
F5606	Saitoella complicata	ingroup	GCF_001661265.1	genus_candidate_requires_species_verification	Saitoella	Saitoella	genus	jrk10133	7818	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Taphrinomycetes	Protomycetaceae		False	False	False	False	soil_saprotroph				soil		non-aquatic		yeast	
F273283	Sarea resinae	ingroup	GCA_026026165.1	genus_candidate_requires_species_verification	Sarea	Sarea	genus	jrk07811	6136	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Sareomycetes	Sareaceae		False	False	False	False	unspecified_saprotroph								filamentous_mycelium	apothecium_(hymenium_on_surface)
F400354	Loxospora ochrophaea	ingroup	GCA_022814175.1	genus_candidate_requires_species_verification	Loxospora	Loxospora	genus	jrk04808	5213	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Lecanoromycetes	Sarrameanaceae		False	False	False	False	lichenized						non-aquatic		thallus_photosynthetic	apothecium_(hymenium_on_surface)
F1042397	Schaereria dolodes	ingroup	GCA_022814065.1	genus_candidate_requires_species_verification	Schaereria	Schaereria	genus	jrk07836	5215	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Lecanoromycetes	Schaereriaceae		False	False	False	False	lichenized						non-aquatic		thallus_photosynthetic	apothecium_(hymenium_on_surface)
F4897	Schizosaccharomyces japonicus	ingroup	GCF_000149845.2	genus_candidate_requires_species_verification	Schizosaccharomyces	Schizosaccharomyces	genus	jrk07855	6137	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Schizosaccharomycetes	Schizosaccharomycetaceae		False	False	False	False	nectar/tap_saprotroph				sugar-rich_substrates		partly_aquatic	arthropod-associated	yeast	none
F2545709	Schizosaccharomyces osmophilus	ingroup	GCF_027921745.1	genus_candidate_requires_species_verification	Schizosaccharomyces	Schizosaccharomyces	genus	jrk07855	6137	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Schizosaccharomycetes	Schizosaccharomycetaceae		False	False	False	False	nectar/tap_saprotroph				sugar-rich_substrates		partly_aquatic	arthropod-associated	yeast	none
F4896	Schizosaccharomyces pombe	ingroup	GCF_000002945.2	genus_candidate_requires_species_verification	Schizosaccharomyces	Schizosaccharomyces	genus	jrk07855	6137	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Schizosaccharomycetes	Schizosaccharomycetaceae		False	False	False	False	nectar/tap_saprotroph				sugar-rich_substrates		partly_aquatic	arthropod-associated	yeast	none
F241526	Candida africana	ingroup	GCA_019359905.1	genus_candidate_requires_species_verification	Candida	Candida	genus	jrk01402	6096	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Saccharomycetes	Saccharomycetales family incertae sedis		False	False	False	False	nectar/tap_saprotroph				sugar-rich_substrates		partly_aquatic	animal-associated/opportunistic_human_parasite	yeast	none
F5476	Candida albicans	ingroup	GCF_000182965.3	genus_candidate_requires_species_verification	Candida	Candida	genus	jrk01402	6096	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Saccharomycetes	Saccharomycetales family incertae sedis		False	False	False	False	nectar/tap_saprotroph				sugar-rich_substrates		partly_aquatic	animal-associated/opportunistic_human_parasite	yeast	none
