model_id	alphabet_model	rate_model	rsa_scale	controls	contrast	baseline_mean_rsa	baseline_mean_aa_log1p_rate	baseline_estimate	sensitivity_estimate	sensitivity_minus_baseline	paired_draws	excluded_singular_draws	percentile_lower	percentile_upper
3di_af_empirical__freerate__miller1987__coverage_confidence	3di_af_empirical	freerate	miller1987	coverage_confidence	rsa_at_aa_log_rate_0	0.30877860698116194	0.6161796552545296	-0.18535965107011637	-0.1905462645426004	-0.005186613472484031	2000	0	-0.012316445748924147	-0.00015141839131766778
3di_af_empirical__freerate__miller1987__coverage_confidence	3di_af_empirical	freerate	miller1987	coverage_confidence	interaction	0.30877860698116194	0.6161796552545296	0.02218130667009044	0.029583208788888517	0.007401902118798077	2000	0	0.0003337334588108486	0.017689003072349906
3di_af_empirical__freerate__miller1987__coverage_confidence	3di_af_empirical	freerate	miller1987	coverage_confidence	aa_at_baseline_mean_RSA	0.30877860698116194	0.6161796552545296	0.20773988917937758	0.20769872667428035	-4.11625050972253e-05	2000	0	-0.0015753237722755918	0.0014553760168634078
3di_af_empirical__freerate__miller1987__coverage_confidence	3di_af_empirical	freerate	miller1987	coverage_confidence	rsa_at_baseline_mean_aa_log_rate	0.30877860698116194	0.6161796552545296	-0.17169198117304504	-0.1723176931497403	-0.0006257119766952535	2000	0	-0.0017152070685720442	0.00033895884389789936
3di_af_empirical__freerate__miller1987__composition_adjusted	3di_af_empirical	freerate	miller1987	composition_adjusted	aa_at_RSA_025	0.30877860698116194	0.6161796552545296	0.09721467614547831	0.09697243554416185	-0.00024224060131645964	2000	0	-0.007382360038760973	0.006664669590228643
3di_af_empirical__freerate__miller1987__composition_adjusted	3di_af_empirical	freerate	miller1987	composition_adjusted	rsa_at_aa_log_rate_0	0.30877860698116194	0.6161796552545296	-0.23328279156731005	-0.23898209073634916	-0.005699299169039107	2000	0	-0.012679804244650029	-0.0007941618462824195
3di_af_empirical__freerate__miller1987__composition_adjusted	3di_af_empirical	freerate	miller1987	composition_adjusted	interaction	0.30877860698116194	0.6161796552545296	0.03162393280372325	0.03964914265041108	0.00802520984668783	2000	0	0.0006243855801717288	0.018673737301875482
3di_af_empirical__freerate__miller1987__composition_adjusted	3di_af_empirical	freerate	miller1987	composition_adjusted	aa_at_baseline_mean_RSA	0.30877860698116194	0.6161796552545296	0.09907348686294704	0.0993029569171504	0.00022947005420335953	2000	0	-0.006897994504213872	0.007383493262168657
3di_af_empirical__freerate__miller1987__composition_adjusted	3di_af_empirical	freerate	miller1987	composition_adjusted	rsa_at_baseline_mean_aa_log_rate	0.30877860698116194	0.6161796552545296	-0.21379676755451946	-0.2145510956868812	-0.0007543281323617312	2000	0	-0.0017395555153916196	6.857062620377471e-05
3di_llm__gamma__tien2013__coverage_confidence	3di_llm	gamma	tien2013	coverage_confidence	aa_at_RSA_025	0.2641317052464556	0.6044291063503936	0.19519713428567792	0.1948581540512371	-0.0003389802344408166	2000	0	-0.002593038538807603	0.0016408956448187072
3di_llm__gamma__tien2013__coverage_confidence	3di_llm	gamma	tien2013	coverage_confidence	rsa_at_aa_log_rate_0	0.2641317052464556	0.6044291063503936	-0.19135920732818126	-0.19169400511405618	-0.0003347977858749185	2000	0	-0.00511163120910216	0.004705451041184106
3di_llm__gamma__tien2013__coverage_confidence	3di_llm	gamma	tien2013	coverage_confidence	interaction	0.2641317052464556	0.6044291063503936	-0.008553668809538345	-0.004470878715369204	0.004082790094169141	2000	0	-0.0026675881168694822	0.01115065216462238
3di_llm__gamma__tien2013__coverage_confidence	3di_llm	gamma	tien2013	coverage_confidence	aa_at_baseline_mean_RSA	0.2641317052464556	0.6044291063503936	0.19507625635928572	0.19479497291103887	-0.0002812834482468496	2000	0	-0.0025299754153417357	0.0016523325485663788
3di_llm__gamma__tien2013__coverage_confidence	3di_llm	gamma	tien2013	coverage_confidence	rsa_at_baseline_mean_aa_log_rate	0.2641317052464556	0.6044291063503936	-0.19652929372274777	-0.19439633434058778	0.002132959382159988	2000	0	-0.001697452912234732	0.00718168754252842
