cohort	model_id	contrast	point	lower	upper
omission	3di_af__gamma__tien2013__coverage_confidence	rsa_at_baseline_mean_aa_log_rate	-0.002916925224765443	-0.008432473566879381	0.0009685577018661363
full	3di_af__gamma__tien2013__composition_adjusted	rsa_at_baseline_mean_aa_log_rate	-0.003525511349956656	-0.010553981976028035	0.0010746072516801166
omission	3di_af__gamma__tien2013__composition_adjusted	rsa_at_baseline_mean_aa_log_rate	-0.0035845903807778523	-0.010598571070991079	0.0010317256144091425
full	3di_af__gamma__miller1987__coverage_confidence	rsa_at_baseline_mean_aa_log_rate	-0.0025695130259213717	-0.007242827875031338	0.0007849510412206015
omission	3di_af__gamma__miller1987__coverage_confidence	rsa_at_baseline_mean_aa_log_rate	-0.002602825346413651	-0.007291290675805295	0.0006449441023000155
full	3di_af__gamma__miller1987__composition_adjusted	rsa_at_baseline_mean_aa_log_rate	-0.003125978877054375	-0.009150101629566023	0.0008027673527721659
omission	3di_af__gamma__miller1987__composition_adjusted	rsa_at_baseline_mean_aa_log_rate	-0.0031788269147241532	-0.009133518167457878	0.0007624676482048385
full	3di_af__freerate__tien2013__coverage_confidence	rsa_at_baseline_mean_aa_log_rate	-0.0005378386192335105	-0.002198661728476851	0.0011284147973389567
omission	3di_af__freerate__tien2013__coverage_confidence	rsa_at_baseline_mean_aa_log_rate	-0.0005441688865532313	-0.0022440339937325362	0.0010157402598380862
full	3di_af__freerate__tien2013__composition_adjusted	rsa_at_baseline_mean_aa_log_rate	-0.000863989543710808	-0.002857131067693653	0.0009718634331999498
omission	3di_af__freerate__tien2013__composition_adjusted	rsa_at_baseline_mean_aa_log_rate	-0.0008803505706598824	-0.002899195750072052	0.0008943134716265438
full	3di_af__freerate__miller1987__coverage_confidence	rsa_at_baseline_mean_aa_log_rate	-0.0006055506116791065	-0.0020845362504478284	0.0008568149568227584
omission	3di_af__freerate__miller1987__coverage_confidence	rsa_at_baseline_mean_aa_log_rate	-0.000612972171352949	-0.002122975218341302	0.0007547015468814557
full	3di_af__freerate__miller1987__composition_adjusted	rsa_at_baseline_mean_aa_log_rate	-0.0008721499440520475	-0.002686313481146961	0.0007076332724192773
omission	3di_af__freerate__miller1987__composition_adjusted	rsa_at_baseline_mean_aa_log_rate	-0.0008883487964672643	-0.002709385875051829	0.000658826183739901
full	3di_af_empirical__gamma__tien2013__coverage_confidence	rsa_at_baseline_mean_aa_log_rate	-0.0003336066932682069	-0.001172343206160344	0.0004739242837682682
omission	3di_af_empirical__gamma__tien2013__coverage_confidence	rsa_at_baseline_mean_aa_log_rate	-0.0003253779925283806	-0.0011332960616094552	0.00048640298231951776
full	3di_af_empirical__gamma__tien2013__composition_adjusted	rsa_at_baseline_mean_aa_log_rate	-0.0009174054840260792	-0.0024233186774938443	0.0005411125698191466
omission	3di_af_empirical__gamma__tien2013__composition_adjusted	rsa_at_baseline_mean_aa_log_rate	-0.0009144488725352229	-0.0023369448386390255	0.0004615786815618143
full	3di_af_empirical__gamma__miller1987__coverage_confidence	rsa_at_baseline_mean_aa_log_rate	-0.00033727466244287685	-0.0010475522638118803	0.0003291139640783214
omission	3di_af_empirical__gamma__miller1987__coverage_confidence	rsa_at_baseline_mean_aa_log_rate	-0.000331123283912077	-0.001000320715434248	0.0003256264366487701
full	3di_af_empirical__gamma__miller1987__composition_adjusted	rsa_at_baseline_mean_aa_log_rate	-0.0008392901109130213	-0.002243517246391457	0.000490097672997182
omission	3di_af_empirical__gamma__miller1987__composition_adjusted	rsa_at_baseline_mean_aa_log_rate	-0.0008377059486041616	-0.002180382025415803	0.0004267656118879602
full	3di_af_empirical__freerate__tien2013__coverage_confidence	rsa_at_baseline_mean_aa_log_rate	-0.0005509289141432394	-0.0017836069310782597	0.0004769338922627432
omission	3di_af_empirical__freerate__tien2013__coverage_confidence	rsa_at_baseline_mean_aa_log_rate	-0.0005614155028236534	-0.0017397900886082253	0.0005110550236162669
full	3di_af_empirical__freerate__tien2013__composition_adjusted	rsa_at_baseline_mean_aa_log_rate	-0.0007497962292034588	-0.0018607650194001771	0.00017891243477508297
omission	3di_af_empirical__freerate__tien2013__composition_adjusted	rsa_at_baseline_mean_aa_log_rate	-0.0007676520946305332	-0.0018117007189696625	0.0001503359660702623
full	3di_af_empirical__freerate__miller1987__coverage_confidence	rsa_at_baseline_mean_aa_log_rate	-0.0006150697285706441	-0.001767439371885348	0.00028433905204331425
omission	3di_af_empirical__freerate__miller1987__coverage_confidence	rsa_at_baseline_mean_aa_log_rate	-0.0006257119766952535	-0.0017152070685720442	0.00033895884389789936
full	3di_af_empirical__freerate__miller1987__composition_adjusted	rsa_at_baseline_mean_aa_log_rate	-0.0007376820885236779	-0.0017848095149229951	0.00011898784545482317
omission	3di_af_empirical__freerate__miller1987__composition_adjusted	rsa_at_baseline_mean_aa_log_rate	-0.0007543281323617312	-0.0017395555153916196	6.857062620377471e-05
full	3di_llm__gamma__tien2013__coverage_confidence	rsa_at_baseline_mean_aa_log_rate	0.0021068888351292447	-0.0015846249807661894	0.007231271037157284
omission	3di_llm__gamma__tien2013__coverage_confidence	rsa_at_baseline_mean_aa_log_rate	0.002132959382159988	-0.001697452912234732	0.00718168754252842
full	3di_llm__gamma__tien2013__composition_adjusted	rsa_at_baseline_mean_aa_log_rate	0.0023050379577128077	-0.002105877676039358	0.008442778287512127
omission	3di_llm__gamma__tien2013__composition_adjusted	rsa_at_baseline_mean_aa_log_rate	0.002327883742430148	-0.002229285169778438	0.008408938328253943
full	3di_llm__gamma__miller1987__coverage_confidence	rsa_at_baseline_mean_aa_log_rate	0.0017891183322474025	-0.0013125466158789942	0.006092369659668073
omission	3di_llm__gamma__miller1987__coverage_confidence	rsa_at_baseline_mean_aa_log_rate	0.0018117754486296211	-0.0014501134405684808	0.006073109471590389
full	3di_llm__gamma__miller1987__composition_adjusted	rsa_at_baseline_mean_aa_log_rate	0.001959839175777023	-0.0018742737380018943	0.007164703874310079
omission	3di_llm__gamma__miller1987__composition_adjusted	rsa_at_baseline_mean_aa_log_rate	0.0019799209212186253	-0.0019265700588608117	0.0071737731736165175
full	3di_llm__freerate__tien2013__coverage_confidence	rsa_at_baseline_mean_aa_log_rate	-0.0010229107334235044	-0.002710929575242355	0.0005045010730380634
omission	3di_llm__freerate__tien2013__coverage_confidence	rsa_at_baseline_mean_aa_log_rate	-0.001035934975718189	-0.0027237995843515357	0.0006221053151296654
full	3di_llm__freerate__tien2013__composition_adjusted	rsa_at_baseline_mean_aa_log_rate	-0.0016041468701278871	-0.0033902539756279133	2.421061345574241e-05
omission	3di_llm__freerate__tien2013__composition_adjusted	rsa_at_baseline_mean_aa_log_rate	-0.001631912658223822	-0.0034275808886352816	2.0595392710090387e-05
full	3di_llm__freerate__miller1987__coverage_confidence	rsa_at_baseline_mean_aa_log_rate	-0.0009549236450874798	-0.002377266465274867	0.0003078354737952313
omission	3di_llm__freerate__miller1987__coverage_confidence	rsa_at_baseline_mean_aa_log_rate	-0.0009674119368093259	-0.002409328082040404	0.00040815479147033766
full	3di_llm__freerate__miller1987__composition_adjusted	rsa_at_baseline_mean_aa_log_rate	-0.0014847324367141812	-0.0030422313422596753	-0.00013913162185728487
