species_id	taxon_id	proteins	outside_retained_partition	singleton_family_proteins	two_member_family_proteins	tree_eligible_family_proteins	outside_fraction	intermediate_unassigned_proteins	intermediate_unassigned_now_in_partition	intermediate_unassigned_still_outside	outside_not_in_intermediate
144	F1348612	28348	7980	0	7	20361	0.28150134048257375	7980	0	7980	0
145	F13502	4711	663	0	0	4048	0.1407344512842284	663	0	663	0
146	F135208	11007	2983	0	0	8024	0.27100935768147544	2983	0	2983	0
147	F135589	9937	1003	0	2	8932	0.10093589614571802	1003	0	1003	0
148	F136370	9825	1750	0	3	8072	0.178117048346056	1750	0	1750	0
149	F139363	18664	9550	0	2	9112	0.5116802400342906	9550	0	9550	0
150	F1396493	10065	2651	0	13	7401	0.2633879781420765	2651	0	2651	0
151	F1397036	8485	1248	0	4	7233	0.14708308780200355	1248	0	1248	0
152	F1419009	10514	2725	0	3	7786	0.2591782385390907	2725	0	2725	0
153	F1424756	6621	1653	0	0	4968	0.2496601721794291	1653	0	1653	0
154	F143232	9473	2656	0	1	6816	0.2803758049192442	2656	0	2656	0
155	F1440133	12900	3144	0	10	9746	0.24372093023255814	3144	0	3144	0
156	F144530	13690	4658	0	6	9026	0.3402483564645727	4658	0	4658	0
157	F144538	11842	3268	0	4	8570	0.2759668974835332	3268	0	3268	0
158	F144539	11385	3204	0	6	8175	0.28142292490118576	3204	0	3204	0
159	F144679	14642	5161	0	9	9472	0.3524791695123617	5161	0	5161	0
160	F1453789	8691	1070	0	4	7617	0.12311586698883903	1070	0	1070	0
161	F1453791	7721	781	0	4	6936	0.10115270042740578	781	0	781	0
162	F145971	18280	7106	0	2	11172	0.3887308533916849	7106	0	7106	0
163	F1463510	6613	1126	0	0	5487	0.17027067896567366	1126	0	1126	0
164	F147570	10674	2234	0	4	8436	0.20929361064268315	2234	0	2234	0
165	F147573	7556	1766	0	0	5790	0.23372154579142404	1766	0	1766	0
166	F148304	12163	3494	0	0	8669	0.2872646551015374	3494	0	3494	0
167	F148305	12441	3225	0	3	9213	0.25922353508560403	3225	0	3225	0
168	F148313	10373	1339	0	0	9034	0.1290851248433433	1339	0	1339	0
169	F1504668	12801	1853	0	3	10945	0.14475431606905712	1853	0	1853	0
170	F1506992	23280	5151	0	11	18118	0.22126288659793814	5151	0	5151	0
171	F1507870	18781	3124	0	1	15656	0.16633832064320322	3124	0	3124	0
172	F1507873	7772	1374	0	1	6397	0.17678847143592383	1374	0	1374	0
173	F150792	15018	5073	0	4	9941	0.33779464642429086	5073	0	5073	0
174	F1520584	6829	1114	0	33	5682	0.1631278371650315	1114	0	1114	0
175	F1522189	7822	2148	0	0	5674	0.2746100741498338	2148	0	2148	0
176	F152956	12062	2993	0	1	9068	0.24813463770518984	2993	0	2993	0
177	F1540922	4115	189	0	2	3924	0.04592952612393682	189	0	189	0
178	F1542792	7721	1466	0	5	6250	0.18987177826706386	1466	0	1466	0
179	F156515	19545	8072	0	5	11468	0.4129956510616526	8072	0	8072	0
180	F1569628	6858	1565	0	2	5291	0.22820064158646836	1565	0	1565	0
181	F157183	10180	3257	0	0	6923	0.3199410609037328	3257	0	3257	0
