taxon_id	species_name	study_role	unambiguous_residues	unambiguous_fraction
F3038894	Phenoliferia sp. Uapishka_3	ingroup	38816	0.7917270075672589
F3039483	Ordospora pajunii	ingroup	20011	0.4081628490423644
F304332	Ramicandelaber brevisporus	ingroup	41739	0.8513472168397006
F3058885	Dirinaria sp. TL-2023a	ingroup	37928	0.7736145389275297
F3060298	Pyrenula sp. 1 TL-2023	ingroup	43222	0.881595855345014
F3075319	Sorochytrium milnesiophthora	ingroup	44770	0.913170293919677
F3108450	Neocallimastix sp. 'constans'	ingroup	26553	0.5415995267913598
F315204	Geoglossum umbratile	ingroup	46979	0.9582270993534175
F318760	Hypocenomyce scalaris	ingroup	47434	0.9675076998388643
F318763	Pleopsidium flavum	ingroup	40021	0.816305301160585
F318774	Phylliscum demangeonii	ingroup	44891	0.9156383217410814
F326681	Hypoxylon trugodes	ingroup	48182	0.9827645990984559
F326684	Xylaria bambusicola	ingroup	47989	0.978827992738695
F332112	Saccharomyces cerevisiae x Saccharomyces kudriavzevii	ingroup	19986	0.40765292593876845
F3342545	Pseudogymnoascus australis	ingroup	44402	0.9056642258347442
F3384825	Phaeococcomyces sp. EXF-18165	ingroup	47873	0.9764619495380097
F339359	Zalerion maritima	ingroup	46669	0.9519040528688274
F342668	Pseudogymnoascus verrucosus	ingroup	48392	0.9870479531686621
F34349	Mixia osmundae	ingroup	46581	0.9501091235441695
F34406	Colletotrichum destructivum	ingroup	47559	0.9700573153568441
F34480	Basidiobolus ranarum	ingroup	35993	0.734146490709201
F34485	Entomophthora muscae	ingroup	8583	0.17506679992657107
F34488	Conidiobolus coronatus	ingroup	46752	0.9535969975727661
F348617	Massospora cicadina	ingroup	36697	0.7485059253064638
F36035	Saccharomycodes ludwigii	ingroup	44933	0.9164949925551227
F36050	Fusarium poae	ingroup	48337	0.985926122340751
F364730	Trypethelium subeluteriae	ingroup	40045	0.8167948273400372
F364733	Endocarpon pusillum	ingroup	45740	0.9329553103392009
F36779	Gaeumannomyces tritici	ingroup	46898	0.9565749484977666
F370292	Thelephora ganbajun	ingroup	48450	0.9882309747690048
F37769	Cryptococcus gattii	ingroup	47735	0.9736471740061599
F378194	Epithele typhae	ingroup	46550	0.9494768188957106
F382532	Globomyces pollinis-pini	ingroup	47325	0.9652844351071859
F383834	Lipomyces doorenjongii	ingroup	46675	0.9520264344136904
F38799	Neolentinus lepideus	ingroup	47199	0.9627144226650621
F390894	Lophium mytilinum	ingroup	47846	0.975911232586126
F393283	Pestalotiopsis fici	ingroup	46143	0.941175270769168
F39416	Tuber melanosporum	ingroup	44675	0.9112325861260122
F398673	Trichoderma gamsii	ingroup	45934	0.9369123136231057
F400354	Loxospora ochrophaea	ingroup	46476	0.9479674465090664
F401625	Ceraceosorus bombacis	ingroup	38578	0.7868725396210251
F40410	Cryptococcus deneoformans	ingroup	48091	0.9809084790013666
F40492	Stereum hirsutum	ingroup	46688	0.9522915944275603
F40559	Botrytis cinerea	ingroup	45331	0.9246129683643707
F41759	Aspergillus multicolor	ingroup	48295	0.9850694515267098
F41833	Umbelopsis ramanniana	ingroup	47079	0.9602667917678014
F418498	Phenoliferia psychrophenolica	ingroup	46562	0.9497215819854365
F41956	Amanita muscaria	ingroup	46521	0.9488853080955392
F41990	Pleurostoma richardsiae	ingroup	47830	0.9755848817998246
F42068	Pneumocystis jirovecii	ingroup	47452	0.9678748444734534
F423460	Basidiobolus meristosporus	ingroup	42487	0.8666041160992922
F42374	Candida dubliniensis	ingroup	44811	0.9140065678095743
F43433	Tricharina praecox	ingroup	46313	0.9446427478736207
F43959	Saccharomycopsis crataegensis	ingroup	46203	0.9423990862177983
F44089	Neoaidaea tothii	ingroup	47427	0.9673649213698574
F443868	Agyrium rufum	ingroup	47341	0.9656107858934873
F44442	Umbelopsis vinacea	ingroup	46249	0.9433373447284149
F44565	Sterigmatomyces hyphaenes	ingroup	47856	0.9761152018275644
F45228	Heterogastridium pycnidioideum	ingroup	47954	0.9781141003936606
F456999	Rhizoctonia solani	ingroup	43851	0.8944255206314887
F460848	Candelaria pacifica	ingroup	45867	0.9355457197054684
F460854	Candelina submexicana	ingroup	46018	0.9386256552511881
