marker	taxon_set_sha256	split_taxa	split_taxon_count	aa_branch_length	3di_af_branch_length	3di_af_empirical_branch_length	3di_llm_branch_length
129234at2759	28f654de324a892717627eda27363be9e1fa446ff665134bc01a7703e17557f9	F1006475,F136370,F1397036,F223409,F2704026,F318760,F400354,F443868,F90408	9	2.0012e-06	2.2085e-06	2.5301e-06	2.0012e-06
129234at2759	28f654de324a892717627eda27363be9e1fa446ff665134bc01a7703e17557f9	F1006475,F136370,F1397036,F223409,F2704026,F318760,F443868,F90408	8	0.0123403305	0.0186100567	0.0014247539	0.0098083167
129234at2759	28f654de324a892717627eda27363be9e1fa446ff665134bc01a7703e17557f9	F1006475,F136370,F318760,F443868,F90408	5	0.0075991352	0.0205099208	0.0231685018	0.0128422978
129234at2759	28f654de324a892717627eda27363be9e1fa446ff665134bc01a7703e17557f9	F1006475,F443868,F90408	3	0.0219864641	0.0260266748	0.0193580542	0.014707206
129234at2759	28f654de324a892717627eda27363be9e1fa446ff665134bc01a7703e17557f9	F100910	1	0.0892197664	0.0803825675	0.0617199357	0.0573717304
129234at2759	28f654de324a892717627eda27363be9e1fa446ff665134bc01a7703e17557f9	F100910,F1323573,F183962,F1938712,F208348,F2778381,F29899,F418498,F44565,F45228,F500713,F5414,F574677,F69979	14	0.1144130049	0.0166800752	0.0202222816	0.0100933598
129234at2759	28f654de324a892717627eda27363be9e1fa446ff665134bc01a7703e17557f9	F100910,F1323573,F183962,F208348,F418498,F44565,F45228,F500713,F574677,F69979	10	0.0574050021	0.0301743315	0.0224742428	0.0217574498
129234at2759	28f654de324a892717627eda27363be9e1fa446ff665134bc01a7703e17557f9	F100910,F1323573,F183962,F208348,F418498,F45228,F500713,F574677	8	0.02641018	2.6119e-06	0.0076243188	2.6119e-06
129234at2759	28f654de324a892717627eda27363be9e1fa446ff665134bc01a7703e17557f9	F100910,F183962,F500713	3	0.106726071	0.0226907632	0.0338165645	0.0143823894
129234at2759	28f654de324a892717627eda27363be9e1fa446ff665134bc01a7703e17557f9	F1042397	1	0.0644834925	0.1253205442	0.1023279868	0.0845684572
129234at2759	28f654de324a892717627eda27363be9e1fa446ff665134bc01a7703e17557f9	F1042397,F1130053,F1145299,F1145321,F116821,F116982,F121624,F129515,F1453791,F1507873,F1542792,F164576,F169141,F174425,F2024903,F209281,F265104,F2732470,F273283,F2781224,F2796175,F2871812,F2918522,F2939400,F2939403,F2939404,F2939405,F2939406,F2939408,F3058885,F315204,F318763,F3384825,F364730,F460848,F460854,F48095,F5022,F5570,F669869,F91480,F92988	42	0.0070978118	2.7326e-06	2.7326e-06	2.7326e-06
129234at2759	28f654de324a892717627eda27363be9e1fa446ff665134bc01a7703e17557f9	F1042397,F1130053,F1145299,F1145321,F116821,F116982,F121624,F1453791,F1507873,F1542792,F164576,F169141,F174425,F2024903,F265104,F2732470,F273283,F2781224,F2796175,F2871812,F2918522,F2939400,F2939403,F2939404,F2939406,F3058885,F315204,F318763,F3384825,F364730,F460848,F460854,F48095,F5022,F5570,F669869,F91480,F92988	38	0.006795189	0.0251387687	0.0209790243	0.0155100008
129234at2759	28f654de324a892717627eda27363be9e1fa446ff665134bc01a7703e17557f9	F1042397,F1145299,F1145321,F116821,F116982,F121624,F1453791,F1507873,F164576,F169141,F174425,F2024903,F265104,F2732470,F2781224,F2796175,F2918522,F2939403,F2939404,F2939406,F3058885,F315204,F364730,F460848,F460854,F48095,F5022,F5570,F669869,F92988	30	0.0069994851	0.0161827467	0.0130907138	0.0048831894
129234at2759	28f654de324a892717627eda27363be9e1fa446ff665134bc01a7703e17557f9	F1042397,F1145299,F1145321,F116821,F116982,F121624,F1453791,F1507873,F164576,F169141,F174425,F2024903,F265104,F2781224,F2796175,F2918522,F2939403,F2939404,F2939406,F3058885,F315204,F364730,F460848,F460854,F48095,F5022,F5570,F669869,F92988	29	0.0067264915	2.642e-06	2.6342e-06	2.642e-06
129234at2759	28f654de324a892717627eda27363be9e1fa446ff665134bc01a7703e17557f9	F1042397,F1145299,F1145321,F116821,F116982,F169141,F2918522,F3058885,F669869	9	2.7177e-06	2.6213e-06	2.0084e-06	2.7177e-06
129234at2759	28f654de324a892717627eda27363be9e1fa446ff665134bc01a7703e17557f9	F1042397,F1145299,F1145321,F116821,F116982,F169141,F2918522,F669869	8	0.0069393222	2.6939e-06	2.6939e-06	2.6939e-06
129234at2759	28f654de324a892717627eda27363be9e1fa446ff665134bc01a7703e17557f9	F1042397,F2918522	2	0.0135633569	0.0402588409	0.0375781054	0.0297547968
129234at2759	28f654de324a892717627eda27363be9e1fa446ff665134bc01a7703e17557f9	F1080349	1	0.0079650651	0.0153582632	0.0128596216	0.0103015588
129234at2759	28f654de324a892717627eda27363be9e1fa446ff665134bc01a7703e17557f9	F1080349,F1125753,F2268995,F230603,F27291,F29833,F36035,F383834,F44089,F5479,F610337	11	0.0224328079	0.0037729427	2.1196e-06	0.004151294
129234at2759	28f654de324a892717627eda27363be9e1fa446ff665134bc01a7703e17557f9	F1080349,F2268995,F230603,F27291,F29833,F36035,F5479,F610337	8	0.2586786958	2.9736e-06	2.9736e-06	2.9736e-06
129234at2759	28f654de324a892717627eda27363be9e1fa446ff665134bc01a7703e17557f9	F1080349,F230603	2	0.0083418963	0.0155413201	0.0133163474	0.0105159167
129234at2759	28f654de324a892717627eda27363be9e1fa446ff665134bc01a7703e17557f9	F1080349,F230603,F27291	3	0.2954688799	0.1078637396	0.0765282915	0.0607737033
129234at2759	28f654de324a892717627eda27363be9e1fa446ff665134bc01a7703e17557f9	F1080349,F230603,F27291,F29833,F36035	5	0.2071408796	0.063412454	0.0571125228	0.0519763377
129234at2759	28f654de324a892717627eda27363be9e1fa446ff665134bc01a7703e17557f9	F1080349,F230603,F27291,F29833,F36035,F5479,F610337	7	0.1448108308	0.09782925	0.0768146926	0.0521545412
129234at2759	28f654de324a892717627eda27363be9e1fa446ff665134bc01a7703e17557f9	F1099800	1	0.0157642811	0.0300646483	0.0259095336	0.0192818778
129234at2759	28f654de324a892717627eda27363be9e1fa446ff665134bc01a7703e17557f9	F1099800,F5606	2	0.1256969793	0.160906766	0.1458886993	0.1184147957
